"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/07/2019" 160.939643056607 168.356673455217 156.645938680124 127.481200689401 181.634969925112 188.056339478081 178.366448119867 142.613249164597 179.516235397694 185.052463612939 182.357400266525 184.135951199752 177.10865101287 152.771908227801 181.445496428558 167.999024922055 162.923551873361 122.127866053613 169.450360813063 165.181209966569 109.216551497369 124.644210713615 174.920558360637 121.911864829987 132.954189155566 133.225472946343
"02/07/2019" 160.960169683291 168.383948106164 156.686749919071 127.490184686876 181.672254056367 188.096498025077 178.408256268181 142.626458096827 179.550831523219 185.089942145113 182.398634829687 184.179189169762 177.15152992484 152.78939525035 181.480571621937 168.041529230662 162.965187541379 122.154934957018 169.493036419966 165.22344690006 109.220992294317 124.652463852245 174.953661282988 121.940877800297 132.983340035617 133.256455894378
"03/07/2019" 160.980686760961 168.411214493081 156.727563082023 127.499159390935 181.70953223916 188.136651343642 178.450061955845 142.639657308595 179.585420859791 185.127414506644 182.439865710114 184.222424630509 177.194407544677 152.80687267347 181.515640041185 168.084033721585 163.006824595501 122.182000433485 169.53571235301 165.265684929665 109.225424747983 124.660707820721 174.986757300716 121.969888333116 133.012487182209 133.287435987896
"04/07/2019" 165.334350868737 173.794396391783 160.318064421168 128.271793601177 187.179157520604 193.348442255776 182.915815289095 144.89824204065 185.117260756623 190.529813737528 187.259621791227 188.889215857958 181.47300665384 156.417969222588 186.99759815016 172.102788350041 166.654460129254 126.167773153941 173.478703707999 169.050731716537 108.131508608873 125.154385518361 180.538862787941 125.580483754187 137.127047171607 137.122940229992
"05/07/2019" 165.351627503449 173.820137547 160.358403619471 128.275831414473 187.216298704927 193.388371655051 182.957384224607 144.90687494732 185.151417400695 190.566991311956 187.300694453559 188.93222288219 181.515566435338 156.431675446413 187.032207565678 172.145011704678 166.695520839619 126.195380024055 173.520967493182 169.092493543334 108.13087433362 125.157654977115 180.571483333299 125.610071343005 137.156580326699 137.154332122007
"08/07/2019" 165.403373840768 173.897287832696 160.479422678581 128.287870689693 187.327671029949 193.508114947056 183.082065624439 144.932692613696 185.253828523208 190.67847122167 187.423878714768 189.061217717651 181.643227660629 156.472711236328 187.135977385436 172.271673124156 166.818701022129 126.278170882202 173.647750764836 169.217775486076 108.128908255252 125.167390712705 180.669284707956 125.698813338224 137.245147733419 137.248483432849
"09/07/2019" 165.420594748679 173.922980179662 160.519762838605 128.29185905601 187.36477803576 193.548014382269 183.123617598331 144.941271476485 185.287945935111 190.715613560561 187.464928867728 189.104207225758 181.685775340375 156.486362193167 187.170547823953 172.313890696138 166.859760417801 126.305757897813 173.690009141719 169.259534937427 108.128231812232 125.170611741203 180.701865053947 125.728387060294 137.274659495429 137.279859060817
"10/07/2019" 165.437801713207 173.948660308361 160.560103228246 128.29583505769 187.401876477035 193.587906306331 183.165165313953 144.949836822219 185.322053519701 190.752747070702 187.505973374209 189.147192336353 181.728319977967 156.499999323808 187.205108498869 172.356106807678 166.90081947307 126.333339935017 173.732266152245 169.301293782153 108.127544827758 125.17382065979 180.734435331283 125.757957301232 137.304165893635 137.311230607338
"11/07/2019" 165.454994729686 173.974328212317 160.600443843178 128.299798693584 187.438966345811 193.627790711188 183.206708764157 144.958388648473 185.356151269269 190.789871744149 187.547012226556 189.190173042044 181.770861566718 156.51362262448 187.239659402445 172.398321452862 166.941878183242 126.360916987902 173.774521790701 169.343052015146 108.12684730203 125.177017467534 180.766995532439 125.787524055258 137.333666921823 137.342598066236
"12/07/2019" 165.472173793452 173.999983885053 160.640784679074 128.303749962547 187.476047634126 193.667667588786 183.248247941795 144.966926952822 185.390239176111 190.826987572955 187.588045417115 189.233149335435 181.813400099937 156.527232091413 187.274200526946 172.440534625777 166.982936543624 126.388489050556 173.81677605137 169.3848096313 108.126139235252 125.180202163507 180.799545649895 125.817087316594 137.363162573778 137.373961431337
