"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"03/06/2019" 160.361037395748 167.589647676954 155.50402066303 127.225884495025 180.588622999898 186.929804371031 177.194846303077 142.239466181814 178.544810318285 184.000583376791 181.201363786503 182.924295443492 175.907541026837 152.27838942459 180.460663688633 166.808999716955 161.758332881371 121.368562258663 168.255597042897 163.999039353634 109.088826053976 124.409407740484 173.990895318556 121.098529343531 132.136466810931 132.356812099736
"04/06/2019" 160.381829715199 167.617151755561 155.544776478627 127.235127819434 180.626071305257 186.970106618293 177.236720813876 142.252945930277 178.579594258966 184.038232292472 181.242698818838 182.967601057314 175.950453704454 152.296143710438 180.495926260262 166.851496780352 161.799928044016 121.395725432523 168.298261438377 164.041243747206 109.093500036716 124.417916841819 174.024189363746 121.127608833308 132.165720419605 132.387872911151
"05/06/2019" 160.402612601613 167.644647705769 155.585534325001 127.244361912066 180.663513826508 187.010403823092 177.278593038852 142.266416050703 178.614371567697 184.075875202648 181.284030350952 183.010904342127 175.993365256241 152.313888501883 180.531182216222 166.893994173535 161.841524709461 121.422885295582 168.340926303202 164.083449364179 109.098165705801 124.426416828629 174.057476656567 121.156686004913 132.194970419541 132.418931010311
"06/06/2019" 160.423386050832 167.672135522724 155.626294198357 127.253586770683 180.700950557784 187.050695978784 177.320462971771 142.279876539901 178.649142238863 184.11351210142 181.325358376333 183.054205291508 176.036275676276 152.331623795158 180.56643155085 166.936491891252 161.883122873558 121.450041843691 168.383591632279 164.125656200031 109.102823060147 124.43490769889 174.090757191571 121.185760854087 132.224216806285 132.449986392139
"07/06/2019" 160.444150058702 167.699615201572 155.667056094904 127.262802393049 180.738381493217 187.090983078726 177.362330606396 142.293327394679 178.683906266849 184.151142982887 181.36668288847 183.097503899032 176.079184958638 152.349349586497 180.601674258486 166.97898992825 161.92472253216 121.477195072699 168.426257420515 164.167864250237 109.107472098671 124.443389450582 174.124030963315 121.214833376568 132.25345957538 132.481039051554
"10/06/2019" 160.506385392669 167.782005360941 155.789353885743 127.290393820319 180.850639465778 187.211813977616 177.487919658137 142.333622120612 178.7881584356 184.263999464471 181.490635280289 183.227385606196 176.207905920441 152.402469911261 180.707362562834 167.106485902367 162.049530433478 121.558634803642 168.554257489214 164.294495641696 109.121369308526 124.468779974068 174.223811644547 121.302036941253 132.341166132213 132.574180644542
"11/06/2019" 160.527111593602 167.809452438834 155.830123837098 127.299572475376 180.888047159146 187.25208078812 177.52977803721 142.347034405835 178.822895834739 184.30160621773 181.531945674321 183.270674782022 176.250810592861 152.420157657223 180.742578705899 167.148985163904 162.091136028574 121.585774714767 168.596925063115 164.336708504031 109.125985072984 124.477225231325 174.257058308813 121.33110011436 132.370394386155 132.60522236352
"12/06/2019" 160.547828332422 167.836891354362 155.870895792657 127.308741883042 180.925449027314 187.292342509655 177.571634086794 142.360437040705 178.857626562637 184.339206924192 181.573252522541 183.313961583852 176.293714097976 152.437835882439 180.777788193672 167.191484718412 162.132743097404 121.612911286049 168.639593070681 164.378922558068 109.13059251624 124.485661359948 174.290298182603 121.360160939471 132.399619000169 132.636261334692
"13/06/2019" 160.56853560498 167.864322102674 155.911669748619 127.3179020411 180.962845064409 187.332599135578 177.613487800649 142.37383002204 178.892350613683 184.376801577957 181.614555818435 183.357246005253 176.336616429858 152.45550458315 180.812991020497 167.233984560637 162.17435163581 121.64004451334 168.682261506809 164.421137799272 109.135191637224 124.494088357931 174.323531260477 121.389219412326 132.4288399698 132.667297552975
"14/06/2019" 160.589233407128 167.891744678923 155.952445701179 127.327052947331 181.000235264557 187.372850659243 177.655339172531 142.38721334666 178.927067982265 184.41439017313 181.655855555487 183.400528039794 176.379517582575 152.473163755599 180.848187180716 167.276484685323 162.215961639631 121.667174392493 168.724930366393 164.463354223108 109.139782434866 124.502506223275 174.356757536992 121.418275528664 132.458057290594 132.698331013291
"17/06/2019" 160.651269949641 167.973963326815 156.074785500386 127.354450132947 181.112370784599 187.493574550259 177.780879173885 142.427305348137 179.031179937144 184.527119548127 181.779733348426 183.53035975792 176.508213906415 152.52608406581 180.953735605154 167.403986701581 162.340800401954 121.748543899636 168.852939434805 164.590010545007 109.153504877089 124.527705003484 174.456395503991 121.505429695962 132.545687315397 132.791414795633
"18/06/2019" 160.671929828687 168.001353166342 156.115569401267 127.363564009765 181.149737578238 187.533805598458 177.822721115401 142.440650013412 179.065870519784 184.564683849965 181.821018784943 183.573632180679 176.55111028314 152.543705087657 180.988905042356 167.446487903536 162.382416225797 121.775660344752 168.895609937128 164.632231653965 109.158062370718 124.536086318302 174.489594520678 121.534476343619 132.57488999629 132.822437173277
"19/06/2019" 160.692580216597 168.028734809574 156.156355279701 127.372668623716 181.187098505571 187.574031511181 177.864560683695 142.45398500543 179.100554391919 184.60224206373 181.862300630031 183.616902184402 176.594005451025 152.561316562471 181.024067784647 167.488989361655 162.424033494228 121.802773420989 168.938280837355 164.674453922844 109.162611535693 124.544458490511 174.522786708812 121.563520613453 132.60408900607 132.85345676755
"20/06/2019" 160.713221109232 168.05610825167 156.197143131876 127.381763972598 181.224453560728 187.614252281783 177.906397872525 142.467310320802 179.135231547941 184.639794183527 181.903578877173 183.660169762651 176.636899404131 152.578918486503 181.059223826366 167.531491070674 162.465652203076 121.829883124199 168.980952130373 164.716677347099 109.167152370955 124.552821518125 174.555972062955 121.592562501201 132.633284340284 132.884473573373
"21/06/2019" 160.733852502449 168.083473487785 156.237932953974 127.390850054216 181.261802737836 187.654467903622 177.948232675651 142.48062595614 179.169901982244 184.677340203462 181.94485351985 183.703434908987 176.679792136518 152.596510856004 181.094373161849 167.573993025328 162.507272348169 121.856989450236 169.023623811062 164.758901922179 109.171684875448 124.561175399163 174.58915057767 121.621602002604 132.662475994479 132.915487585664
"24/06/2019" 160.795689644214 168.165519911837 156.36031420163 127.418052673549 181.37381494218 187.775083810106 178.073722708399 142.520514748133 179.27387289878 184.789941605147 182.068655755898 183.833215692107 176.808462949933 152.649230599841 181.199780874278 167.701500310408 162.63214135917 121.938288123825 169.151641127975 164.88558250687 109.1852323938 124.586182143031 174.688645030893 121.708706146117 132.75002883241 133.008512810531
"25/06/2019" 160.816282998382 168.192852275621 156.401111865234 127.42710166419 181.411140548403 187.815278770426 178.115547906298 142.533791629529 179.308516390153 184.827463166673 182.109915915518 183.876471046376 176.851350740008 152.666784713747 181.234903328214 167.744003194905 162.67376720747 121.965380899691 169.194314308153 164.927811639738 109.189731564708 124.594499417991 174.721796133542 121.737736059517 132.779205721989 133.03951559788
"26/06/2019" 160.836866832449 168.220176409224 156.441911479658 127.436141376621 181.448460247233 187.855468548741 178.157370687282 142.547058813999 179.343153131782 184.864978598846 182.15117243807 183.919723936521 176.894237279638 152.684329254393 181.270019047615 167.786506298682 162.715394471114 121.992470277646 169.236987850396 164.970041900664 109.194222399601 124.602807536503 174.754940369589 121.766763565262 132.808378909281 133.070515566287
