"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/03/2019" 158.365038378925 164.968667117159 151.682578679072 126.31612146712 177.043495833383 183.11982784493 173.249323395281 140.929841305173 175.246312073597 180.435615206524 177.301170600082 178.844083142464 171.869563683215 150.567636083553 177.117253752632 162.816492732441 157.855692984629 118.80103364349 164.247961518601 160.037929689948 108.612512609739 123.56915455675 170.831884796928 118.355372098575 129.371151595932 129.425710617114
"04/03/2019" 158.429992223017 165.053383223408 151.804230389049 126.346396611392 177.15737742496 183.242054301311 173.375503331048 140.972924366111 175.352440395905 180.550159947485 177.426067101223 178.974565937386 171.998538743677 150.623498032956 177.224812777909 162.943823744309 157.980004618767 118.883392497741 164.375757634977 160.164142870041 108.628839070205 123.597197131803 170.933579297476 118.443195884342 129.459860789623 129.519583240529
"05/03/2019" 158.451625417182 165.081606574268 151.844785710576 126.356470301213 177.195327477548 183.282787600073 173.417559884822 140.987266733122 175.387804283606 180.588330613417 177.467693469933 179.018056726535 172.041529264559 150.642100401178 177.260653608519 162.986269033302 158.021445603874 118.910839596192 164.418358209274 160.20621720167 108.634264813619 123.606526826627 170.967464971995 118.472466717377 129.489424129714 129.550869630239
"06/03/2019" 158.473249560673 165.109822241321 151.885343401769 126.366534974417 177.233272281354 183.323516461072 173.459614715946 141.001599767978 175.423162052021 180.626495812279 177.509316928708 179.061545767221 172.084519192807 150.660693622173 177.296488340725 163.028715122974 158.062888469043 118.938283761245 164.460959709749 160.248293161805 108.6396823499 123.615847602561 171.001344391208 118.501735661401 129.518984266805 129.582153769137
"07/03/2019" 158.494864649244 165.138030219653 151.925903458977 126.376590628517 177.271211830488 183.364240877661 173.501667818271 141.015923467377 175.458513695498 180.664655538145 177.550937471084 179.10503305311 172.12750852262 150.679277692081 177.332316968826 163.071162008218 158.104333210193 118.965724988752 164.503562131454 160.290370746068 108.645091677793 123.625159457334 171.035217549632 118.531002711671 129.548541196437 129.613435652162
"08/03/2019" 158.516470678654 165.166230504349 151.966465878549 126.38663726103 177.309146119064 183.404960843192 173.54371918565 141.030237828019 175.493859208387 180.70280978509 177.592555090599 179.14851857787 172.170497248196 150.697852607041 177.368139487127 163.113609683927 158.145779823239 118.993163274563 164.54616546944 160.332449950079 108.650492796045 123.634462388678 171.069084441784 118.560267863447 129.578094914153 129.644715274254
"11/03/2019" 158.581234369494 165.250785147481 152.088167274927 126.416723004249 177.422917362552 183.527093966961 173.669862816602 141.073124844422 175.599858907033 180.817239593157 177.717390347339 179.27896452201 172.299459741451 150.753522383656 177.475570326254 163.240957402717 158.270130852891 119.075460440343 164.673980931567 160.458697236774 108.666646880452 123.662317619482 171.170647465783 118.64805188038 129.666736751212 129.738540524322
"12/03/2019" 158.602804119844 165.278954608497 152.128739107422 126.42673352563 177.460830549992 183.567796061779 173.711907182684 141.087401817061 175.635179841078 180.855371865176 177.758996210768 179.322442938886 172.342445992022 150.772060640251 177.511368348382 163.283408189141 158.311584912646 119.102886917888 164.716587885151 160.500782875943 108.672015147646 123.671584834473 171.204489238026 118.677309390751 129.696277576675 129.769811052071
"13/03/2019" 158.624364789832 165.307116351314 152.169313284005 126.436735013047 177.498738447414 183.608493672298 173.753949783058 141.10166943446 175.67049461629 180.893498628654 177.80059911901 179.365919562945 172.385431609321 150.790589722616 177.547160232228 163.325859740441 158.35304082385 119.130310432996 164.759195730244 160.542870112935 108.677375198963 123.680843114729 171.238324716588 118.706564978913 129.72581516793 129.801079293579
"14/03/2019" 158.64591637522 165.335270371021 152.209889801016 126.446727464032 177.536641048921 183.649186791866 173.795990611568 141.115927693328 175.705803227022 180.931619877666 177.8421990656 179.409394387846 172.428416587536 150.809109626897 177.582945972095 163.368312051506 158.394498582408 119.157730981517 164.801804461886 160.584958943358 108.682727033159 123.690092457999 171.27215389599 118.735818640122 129.755349520518 129.832345243785
"15/03/2019" 158.667458871773 165.363416662707 152.250468654793 126.45671087612 177.574538348621 183.689875413837 173.838029662058 141.130176590373 175.741105667626 180.969735606291 177.883796044067 179.452867407246 172.471400920856 150.827620349243 177.618725562288 163.410765117227 158.435958184221 119.185148559304 164.844414075117 160.627049362822 108.688070648995 123.699332862033 171.305976770752 118.765070369634 129.784880629981 129.863608897625
