"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/05/2019" 154.861117764973 160.824135529431 150.673404158044 125.73092168153 173.203877201441 179.677329700931 170.771521471668 139.062570618068 171.241251586261 176.672266044286 174.355753503202 176.238419399462 169.752151774518 147.614603967426 173.180310935356 161.105818793579 156.750507103505 116.015332816733 162.672892567023 158.740611369605 109.824553237842 123.238750768808 166.750900570179 116.025833629729 126.540861084587 126.959355783394
"02/05/2019" 154.885399370161 160.853521239181 150.714217612469 125.745643818157 173.241728573785 179.717995850248 170.813432816368 139.080944886298 171.276836703621 176.710505469939 174.3971873548 176.281734176274 169.795056333478 147.636362614696 173.21640588298 161.148158499234 156.792261654322 116.042147974825 162.715537174448 158.782848019243 109.835200938153 123.252827260618 166.785040466064 116.054377309053 126.569922842042 126.990051128248
"03/05/2019" 154.909676278208 160.882903021994 150.755035006293 125.760361029825 173.279577512174 179.758660172753 170.855344454573 139.099314183511 171.312418822208 176.748742333258 174.438620535196 176.325049294347 169.83796218066 147.658116481519 173.252497847815 161.190500651346 156.834019749074 116.068961827898 162.758184404212 158.825087947569 109.845843866288 123.266898846227 166.819177268085 116.082920367975 126.598983182831 127.020745707968
"06/05/2019" 154.982478793624 160.971024779977 150.877510797852 125.804483094736 173.393109686807 179.88064213324 170.981081084973 139.154392226243 171.419147150823 176.863437511846 174.5629160028 176.454996649758 169.966687408297 147.72334937492 173.360755810492 161.317541748246 156.959315266905 116.149395531616 162.886141790517 158.951827372254 109.877744001773 123.309084146031 166.921569078007 116.168545788821 126.686155677366 127.112824820591
"07/05/2019" 155.006736887228 161.000390826214 150.91834392296 125.819180586227 173.430948852569 179.921299102338 171.022993851951 139.172741616577 171.454717239812 176.901664088467 174.604346452014 176.498313086498 170.009598365116 147.745084095568 173.396835809081 161.359893647998 157.001087507351 116.176204139232 162.928799472606 158.994080382902 109.888367825341 123.323136087024 166.955693471616 116.197086332624 126.715210323653 127.143516304042
"08/05/2019" 155.030990270752 161.029752931101 150.959180974304 125.833873142587 173.468785565974 179.961954221545 171.064906889805 139.191086024485 171.490284312776 176.939888084074 174.645776206835 176.541629841307 170.052510588524 147.766814023575 173.432912807338 161.402247975104 157.042863276698 116.203011429139 162.971459758511 159.036336656014 109.898986868803 123.337183111912 166.989814754883 116.225626239269 126.744263539355 127.174207004492
"09/05/2019" 155.055238941607 161.059111091758 151.000021949247 125.848560761783 173.506619823339 180.002607486242 171.106820194007 139.209425447686 171.525848366266 176.978109494931 174.687205262625 176.584946909543 170.095424074189 147.7885391565 173.468986801755 161.444604725739 157.084642571935 116.229817398801 163.01412264452 159.078596188339 109.909601130575 123.351225218716 167.023932924515 116.254165505403 126.773315321689 127.204896918366
"10/05/2019" 155.079482897206 161.088465305301 151.04086684515 125.863243441781 173.544451620985 180.043258891814 171.148733760028 139.227759883896 171.561409396831 177.016328317304 174.728633614741 176.628264286564 170.13833881778 147.810259491906 173.505057788823 161.486963896075 157.126425390047 116.25662204568 163.056788126922 159.120858976626 109.920210609073 123.365262405456 167.058047977216 116.282704127675 126.802365667871 127.235586042092
"13/05/2019" 155.152186446583 161.176504234437 151.163425032199 125.907261826248 173.657932218803 180.165201907604 171.274475983687 139.282733247759 171.668074316485 177.130969216165 174.852914402638 176.758218223891 170.267090552756 147.875391688608 173.613252670862 161.614055886991 157.251794951462 116.337028024255 163.184800115339 159.247666844704 109.952010329102 123.40734442549 167.160374400789 116.368316097804 126.889508061671 127.327648636635
"14/05/2019" 155.176411515275 161.205842630711 151.204285585514 125.921924729116 173.69575414077 180.205845830501 171.316390551662 139.301047713181 171.703623220859 177.16917764725 174.894339893644 176.801536789602 170.310010284693 147.897092809538 173.649311593462 161.656424697823 157.293591830895 116.363827354637 163.227475946157 159.289942624278 109.962600658682 123.421361912174 167.194476952822 116.396852111111 126.918552635413 127.358334564025
"15/05/2019" 159.964196586039 167.065532250537 154.730051058825 127.048510291222 179.876014024255 186.163112442245 176.398804576407 141.981525888824 177.882662846064 183.284120784192 180.415341785698 182.101054805307 175.091994108678 151.939259075411 179.789425384317 166.001625143426 160.968315842156 120.85183841811 167.445069464528 163.197394325908 108.998442242651 124.246005767089 173.357032754632 120.545584436336 131.579968513698 131.766148107352
"16/05/2019" 159.985167341899 167.093189845227 154.770767569609 127.057928590388 179.913571112333 186.203509233851 176.440721334565 141.995187961762 177.917571726322 183.321882682739 180.456742085889 182.144403451156 175.134927053984 151.957193037654 179.824812577239 166.044114945412 161.009881661848 120.879063709395 167.487723977182 163.239574617639 109.003273976406 124.25468765623 173.390454059866 120.574707122461 131.609289841547 131.797259486968
"17/05/2019" 160.006128743913 167.120839403913 154.811486183064 127.067337700834 179.951122527856 186.24390110924 176.482635925172 142.008840467565 177.952474081407 183.359638687977 180.498139009459 182.18774988985 175.177858985689 151.975117577286 179.860193262167 166.086605176637 161.051449063596 120.906285768652 167.530379055612 163.281756218396 109.008097417457 124.263360469821 173.423868716223 120.603827577406 131.638607645348 131.828368250781
"20/05/2019" 160.06895678511 167.203739815249 154.933654601768 127.095509876952 180.063742680351 186.365047171653 176.608366629526 142.049740549989 178.057141939389 183.472871284751 180.62230945545 182.317775898957 175.306648640256 152.028834622637 179.966296212268 166.214078393543 161.176160719164 120.987932512797 167.658347634957 163.408308829906 109.022517973203 124.28932443654 173.524072737565 120.691175507543 131.726539867879 131.921678796656
"21/05/2019" 160.089880729976 167.231357181225 154.974381588213 127.104882209635 180.101271346912 186.405419315726 176.650272487761 142.063354755087 178.092018137545 183.51060365767 180.663692807535 182.361113444981 175.349576458605 152.04672143395 180.001650808504 166.256570289512 161.217734407115 121.015141602484 167.701004925878 163.450495621839 109.027308232263 124.297960927191 173.557460743947 120.720286990148 131.755843530905 131.95277704651
"22/05/2019" 160.110795300118 167.258966486855 155.015110658474 127.114245342171 180.138794311547 186.445786510359 176.692176147355 142.076959376974 178.126887782411 183.548330107741 180.705072750495 182.404448751821 175.392503233867 152.064598803718 180.03699886839 166.299062588604 161.259309656104 121.042347439415 167.743662757257 163.492683700325 109.032090193038 124.306588331937 173.59084207422 120.74939621776 131.785143647592 131.983872655186
