"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/11/2019" 155.057128951057 163.819861312036 158.001661421685 120.12439363835 181.802630235021 184.503813192226 175.610929514447 136.010372597554 175.58959908828 181.290102277023 179.265311290156 181.16760296289 174.512337143503 146.675554714927 177.560510067546 169.235527432347 160.840762905081 123.062991508751 167.159655153255 163.016859287951 105.606114657219 121.262320142929 174.783675428416 122.982228458896 131.442584340577 131.780980054614
"04/11/2019" 155.114852504513 163.898533741006 158.124144246422 120.147090086185 181.912298507567 184.621948454414 175.734729273766 136.045861125768 175.69072520087 181.400032213072 179.38704259004 181.295583574203 174.63963401113 146.724036701222 177.663122041887 169.362400607837 160.965278568329 123.143052352835 167.286828398115 163.142993770586 105.615752500134 121.283185287763 174.88060295899 123.06830097464 131.528568670145 131.872594134431
"05/11/2019" 155.134074505297 163.924741186634 158.164975110895 120.154637431371 181.948842044466 184.661316315904 175.775990719526 136.057671287328 175.724420244789 181.436663138771 179.427612136949 181.338238546618 174.682063491072 146.740178130787 177.697312405697 169.404691274709 161.006786462811 123.169731928818 167.32921994302 163.185040652652 105.618948515385 121.290121859436 174.912897626106 123.096986480215 131.55722248764 131.903126324548
"06/11/2019" 155.153286907415 163.950940275395 158.205807596809 120.162175704814 181.985379294418 184.700678887447 175.817249584483 136.069471769981 175.758108449054 181.473287861329 179.468177896469 181.380890892574 174.724491556372 146.756309938014 177.731495946095 169.446981736763 161.048295686788 123.196407811658 167.371611710848 163.227088554166 105.622136229842 121.297049190077 174.945185029088 123.125669312022 131.585872484686 131.93365558866
"07/11/2019" 156.310408336947 165.469921110706 159.15838964479 120.24984177596 183.632795960175 186.316281730638 177.208170370262 136.599606835037 177.412560905878 183.122660866641 180.973367938177 182.828496059798 176.035101836486 147.687290264855 179.378449797597 170.622822408873 162.058500665257 124.419009894398 168.529548620396 164.300279806075 105.130096688336 121.281274275239 176.570631822522 124.264179770247 132.8637151762 133.148974500532
"08/11/2019" 156.328654845234 165.495595202875 159.199150440189 120.255944662097 183.669180570551 186.355570354388 177.249438987594 136.610087883324 177.446041761129 183.159145352374 181.013928699749 182.871164394305 176.077546877493 147.702320466871 179.412421324966 170.665107699806 162.099966640023 124.44574669853 168.571951403935 164.342319557463 105.131728594419 121.286691637491 176.602636718196 124.292983397851 132.892421405511 133.17961346241
"11/11/2019" 156.383329506679 165.572560676759 159.321439648442 120.274193165164 183.778291278595 186.473399601685 177.373225545951 136.641466237205 177.546437566766 183.268556234044 181.135584021511 182.999149688301 176.204869985518 147.747346241478 179.514289265547 170.79195912368 162.22436960178 124.525931602747 168.699157977433 164.468441960564 105.136570206726 121.302882617203 176.698601868623 124.379375490836 132.978513666388 133.271509786153
"12/11/2019" 156.401532758165 165.598196882664 159.362204977722 120.280255942345 183.814647118534 186.512663787074 177.414481278582 136.65190408145 177.579887227811 183.305012314353 181.176126784548 183.04180486015 176.247306995279 147.762333209792 179.548229677624 170.834241429597 162.265838919583 124.552651385794 168.741559557747 164.510483794676 105.138166040794 121.308259236799 176.73057371967 124.408166576061 133.007202261012 133.302135023205
"13/11/2019" 156.419725184562 165.623823603621 159.402971429851 120.28630868825 183.850995749579 186.551921846077 177.455733773329 136.662331117151 177.613329074712 183.341461277003 181.216665030526 183.084456724102 176.289741981291 147.777309360129 179.582162295172 170.876522974955 162.30730906169 124.579366901846 168.78396082339 164.552526137038 105.139752855824 121.31362566727 176.762537294391 124.436954513819 133.035886434478 133.332756816378
"14/11/2019" 156.437906781519 165.649440834278 159.443739000577 120.29235140127 183.887337165218 186.591173771977 177.496983023507 136.672747341302 177.646763101231 183.377903115474 181.257198752476 183.127105273261 176.332174937173 147.792274688671 179.616087111912 170.918803754032 162.348780023516 124.606078146214 168.826361768814 164.594568982677 105.141330651407 121.318981907237 176.794492586718 124.465739299363 133.06456618179 133.3633751606
"15/11/2019" 156.456077544686 165.675048569286 159.484507685647 120.298384079801 183.923671358937 186.630419558057 177.538229022431 136.6831527509 177.680189301135 183.414337823247 181.297727943425 183.169750500733 176.374605856549 147.807229191604 179.650004121564 170.961083761102 162.390251800476 124.632785114207 168.86876238847 164.636612326616 105.142899427135 121.324327955326 176.826439590586 124.494520927942 133.093241497955 133.393990050804
"18/11/2019" 151.168520796779 158.829003134444 155.495998937925 120.002543441971 176.717065679896 179.627407379505 171.611448972052 134.284183895455 170.3752212877 176.199361050838 174.831935028892 176.991530885159 170.820480516533 143.543803846321 172.394426157533 166.010047639785 158.153280711206 119.288639385481 163.990299173789 160.12432790563 107.692879537268 121.534689092908 169.631213582133 119.593326813103 127.520165812877 128.154329254545
