"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/11/2019" 155.057128951057 163.819861312036 154.638005125511 120.12439363835 177.868635745681 180.533507513316 171.931549252524 131.950366791294 175.58959908828 177.357850646154 175.461651649049 181.16760296289 170.834615594656 146.675554714927 173.690817033454 165.682242087136 157.415898581421 121.03210468842 167.159655153255 163.016859287951 116.947616509459 170.974955954136 120.887432748042 129.096994228561 131.780980054614
"04/11/2019" 155.114852504513 163.898533741006 154.760180975684 120.147090086185 177.977938424525 180.651260548364 172.055000936231 131.985471236074 175.69072520087 177.467402018582 175.58300406256 181.295583574203 170.961552261693 146.724036701222 173.793062928272 165.808785048961 157.540084527967 121.111980189371 167.286828398115 163.142993770586 116.968080680556 171.071542252364 120.973317585996 129.182744911533 131.872594134431
"05/11/2019" 155.134074505297 163.924741186634 154.800910043999 120.154637431371 178.014360714932 180.690501624031 172.096146934603 131.997154007413 175.724420244789 177.503907373658 175.623447910526 181.338238546618 171.003862251803 146.740178130787 173.827131873278 165.850966202871 157.581483054486 121.138598303522 167.32921994302 163.185040652652 116.974884272205 171.103723774269 121.001940861704 129.211321214679 131.903126324548
"06/11/2019" 155.153286907415 163.950940275395 154.841640998143 120.162175704814 178.050777027475 180.729737721413 172.137290641126 132.008827418691 175.758108449054 177.540406834267 175.66388826941 181.380890892574 171.046171115837 146.756309938014 173.861194298772 165.893147431137 157.622883179347 121.165212884161 167.371611710848 163.227088554166 116.981678961816 171.135898331537 121.030561628369 129.239893881332 131.93365558866
"07/11/2019" 156.310408336947 165.469921110706 155.809894978635 120.24984177596 179.716124027797 182.362634855533 173.544609313616 132.557056703566 177.412560905878 179.20690837053 177.184883474874 182.828496059798 172.372431671842 147.687290264855 175.525394203538 167.085183244144 158.648006555741 122.397277265777 168.529548620396 164.300279806075 116.985569575212 172.779478073072 122.17904520805 130.527483090496 133.148974500532
"08/11/2019" 156.328654845234 165.495595202875 155.850603796256 120.255944662097 179.752445482535 182.401854966506 173.585816650876 132.567470132463 177.446041761129 179.243325000159 177.225374023727 182.871164394305 172.414811037141 147.702320466871 175.559301281177 167.127411491276 158.689413430029 122.423982687099 168.571951403935 164.342319557463 116.99091766999 172.811426402314 122.207817724116 130.556146021964 133.17961346241
"11/11/2019" 156.383329506679 165.572560676759 155.972738794502 120.274193165164 179.861368738966 182.519480708855 173.709421253648 132.598647707767 177.546437566766 179.352534327406 177.346820654795 182.999149688301 172.54193900131 147.747346241478 175.660977854677 167.254093604016 158.813640844386 122.504074483387 168.699157977433 164.468441960564 117.006903057611 172.907223804999 122.294117555843 130.642109590247 133.271509786153
"12/11/2019" 156.401532758165 165.598196882664 156.013453294933 120.280255942345 179.897662766854 182.558677737111 173.75061696268 132.609019319076 177.579887227811 179.388923894262 177.387294503482 183.04180486015 172.584311590931 147.762333209792 175.694855138485 167.296320079693 158.855052231117 122.530763577317 168.741559557747 164.510483794676 117.012211883344 172.939140390699 122.322878245127 130.670755687688 133.302135023205
"13/11/2019" 156.419725184562 165.623823603621 156.054169205477 120.28630868825 179.933949921786 182.597868977937 173.791809747986 132.619380468497 177.613329074712 179.425306679165 177.427764159747 183.084456724102 172.626682470735 147.777309360129 175.728724958173 167.338546098239 158.896464734541 122.557448577695 168.78396082339 164.552526137038 117.017510888399 172.97104902538 122.351635965863 130.699397564164 133.332756816378
"14/11/2019" 156.437906781519 165.649440834278 156.094886521897 120.29235140127 179.970230197263 182.637054424632 173.832999602896 132.629731153041 177.646763101231 179.461682675612 177.468229616637 183.127105273261 172.66905163436 147.792274688671 175.762587307475 167.380771653944 158.937878350088 122.58412947984 168.826361768814 164.594568982677 117.022800071415 173.002949702989 122.380390713312 130.728035214689 133.3633751606
