"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/10/2019" 154.522550595198 167.012057370623 157.037954926772 124.070192475764 181.097737433182 183.762558798009 174.820131254683 135.64217747712 174.913522633794 180.584618773205 178.502642492632 180.34609254789 173.668331711019 146.202165315371 176.879964879728 168.349237524279 159.887979765843 122.568510836881 166.256570289512 165.570555908293 105.520398267774 121.041681314625 174.120435015003 122.471514193725 130.913419856732 131.231467471812
"02/10/2019" 154.54195914216 167.038460285587 157.078837118256 124.078205517363 181.134342635708 183.802011639769 174.86150825423 135.654281483619 174.947262056506 180.621309909458 178.543313853544 180.38886382919 173.710880200892 146.218534693774 176.91420553843 168.391639475311 159.929555344492 122.595192905284 166.299062588604 165.612790665966 105.523958985116 121.048965466051 174.152780473744 122.500230292354 130.942087106965 131.262037743573
"03/10/2019" 154.561358403753 167.064854790899 157.119721134744 124.086209403411 181.17094165655 183.841459264425 174.902882786102 135.666376103491 174.980994776738 180.657994945355 178.583981520845 180.431632604139 173.75342741719 146.234894762976 176.948439506471 168.434041391004 159.971132449859 122.62187132303 166.341555285594 165.655026364223 105.527511587157 121.056240614238 174.185118825898 122.528943723375 130.970750578511 131.292605102475
"04/10/2019" 154.580748376004 167.091240881822 157.160606972279 124.094204132029 181.2075344899 183.880901665918 174.944254844021 135.678461333683 175.014720788989 180.694673875085 178.624645488027 180.474398866263 173.795973353903 146.251245519404 176.98266677829 168.476443265959 160.012711077667 122.648546085993 166.384048375252 165.697262998372 105.531056073068 121.063506757509 174.217450066111 122.557654482532 130.999410266956 131.323169543972
"07/10/2019" 154.638862516993 167.170348620882 157.283275371558 124.118133354585 181.31727580695 183.999197470861 175.068356111269 135.714660655678 175.115858522865 180.804673969148 178.74661512378 180.602682510923 173.923603426429 146.300241876315 177.085308360814 168.603648592376 160.137456052928 122.728548404935 166.511529947919 165.823978469237 105.541640825779 121.085251141097 174.314401061556 122.64377068625 131.085366589562 131.414845318567
"08/10/2019" 154.65821529217 167.196701006882 157.324168453666 124.126091434776 181.353843832285 184.038618919143 175.109718210579 135.726708296664 175.149557648201 180.841328416092 178.787264225388 180.645438656981 173.96614418469 146.316555345924 177.119508792148 168.646050250351 160.179040727683 122.755208507517 166.554024555925 165.866218800011 105.545152838934 121.092481247984 174.346703800463 122.672470715382 131.11401110147 131.445398044978
"09/10/2019" 154.677558758155 167.223044954815 157.365063337006 124.134040348196 181.390405641106 184.078035113983 175.151077804533 135.73874653274 175.183250038062 180.877976727814 178.827909594316 180.688192257826 174.008683633304 146.332859484903 177.153702499464 168.688451840566 160.220626903464 122.78186493469 166.596519530427 165.908460043197 105.548656731849 121.099702341606 174.378999400662 122.701168051366 131.142651808203 131.475947831251
"10/10/2019" 154.696892910984 167.249380459949 157.405960017609 124.141980092985 181.42696122761 184.117446049325 175.192434886846 135.750775360869 175.21693568695 180.914618898505 178.868551224063 180.730943306977 174.051221766254 146.349154289686 177.187889477205 168.730853357613 160.262214575981 122.808517682331 166.639014866187 165.950702194094 105.552152503708 121.106914420297 174.411287856803 122.729862689946 131.171288705345 131.506494672839
"11/10/2019" 154.71621774669 167.275707517554 157.446858491506 124.149910667285 181.463510585995 184.156851719114 175.233789451235 135.762794778015 175.250614589369 180.951254922354 178.909189108129 180.773691797954 174.093758577521 146.365439756705 177.222069719814 168.773254796081 160.303803740946 122.835166746314 166.681510557964 165.992945248001 105.555640153697 121.114117482396 174.443569163535 122.758554626864 131.19992178848 131.537038565194
"14/10/2019" 158.912377311473 172.615586354745 161.126068139706 124.502939669477 187.052885656935 189.574706279296 179.901220042037 137.729111992903 180.93696221284 186.543446928311 183.933673364607 185.639665551645 178.563107106249 149.757347916872 182.870642666116 172.906247905123 164.106034235805 126.960384997901 170.793183883758 169.877744629262 104.01905142717 121.181554222122 180.069899236057 126.520816362701 135.495039075167 135.560750141459
"15/10/2019" 158.928404917971 172.640154786861 161.166490661281 124.505817285403 187.08920720467 189.614040162345 179.942518961748 137.736574084668 180.970262904662 186.579893176921 183.97432369097 185.682371661941 178.605513255362 149.769818328315 182.904428264886 172.948376817875 164.147217921989 126.987504671654 170.835448855224 169.91951542958 104.017440630638 121.183685060839 180.101551042308 126.550072943106 135.524112802087 135.591810449422
"16/10/2019" 158.944418926699 172.66471073955 161.206913304692 124.50868283959 187.125519785749 189.653366502555 179.983813618885 137.744023211494 181.003553757384 186.616330569871 184.014968343905 185.725073384576 178.647916402635 149.782275335311 182.938204082956 172.990504023944 164.188401455097 127.014618981242 170.877712572456 169.96128544953 104.01581971409 121.1858041263 180.133192411758 126.579325673026 135.553181003529 135.622866533158
"17/10/2019" 158.960419333279 172.689254206549 161.247336065501 124.511536331204 187.161823392248 189.692685291888 180.025104006174 137.751459371257 181.036834763366 186.652759099228 184.055607315669 185.76777071203 178.690316541232 149.794718934392 182.971970112643 173.03262951728 164.229584830294 127.041727920745 170.91997502958 170.003054683873 104.014188677998 121.187911417887 180.164823336993 126.608574546619 135.582243673251 135.653918386476
"18/10/2019" 158.976406133338 172.713785181599 161.287758939268 124.514377759414 187.198118016245 189.731996522309 180.066390116338 137.758882561841 181.070105914969 186.68917875706 184.096240598517 185.810463636788 178.732713664314 149.807149122092 183.005726346261 173.074753291832 164.270768042741 127.068831484239 170.962236220723 170.044823127371 104.012547522839 121.190006934982 180.196443810601 126.637819558042 135.611300805011 135.684966003185
"21/10/2019" 159.0242848507 172.78730309249 161.409028193905 124.522829655365 187.306947914009 189.849884779724 180.190222711321 137.781074297392 181.169860167127 186.798384422095 184.218106236121 185.938515919682 178.859886872073 149.844359182291 183.106936193895 173.201114242235 164.39431665518 127.150109859469 171.08901213952 170.170123660385 104.007563347775 121.196222833217 180.291242447551 126.725531360848 135.698438910111 135.778083371733
"22/10/2019" 159.040217181004 172.811784037193 161.449451475088 124.525622821722 187.343206528787 189.889165694127 180.231491640218 137.788445590152 181.203091824842 186.83476851452 184.258716685856 185.981191158452 178.902271864693 149.856735689873 183.140653166432 173.243231081099 164.43549916822 127.177191859724 171.131268207985 170.21188888809 104.005881721177 121.198271246261 180.32282104055 126.754760865147 135.727473827613 135.809113980081
"23/10/2019" 159.056135882968 172.836252458684 161.489874847015 124.528403920573 187.379456121462 189.928439009434 180.272756255601 137.795803903198 181.236313589997 186.87114369577 184.299321407949 186.023861956922 178.944653807592 149.869098768796 183.174360304501 173.2853461709 164.476681494301 127.204268454367 171.173522981085 170.253653298737 104.004189977941 121.200307881787 180.354389144879 126.783986478053 135.756503175948 135.840140320856
"24/10/2019" 159.072040952241 172.860708350719 161.530298305242 124.531172951109 187.415696684114 189.967704717611 180.31401655019 137.803149234433 181.269525454961 186.907509957916 184.339920394652 186.066528307571 178.987032693925 149.881448415616 183.208057600426 173.327459505577 164.517863628579 127.231339637477 171.215776452941 170.295416887082 104.002488118561 121.202332739199 180.385946753134 126.813208193719 135.785526948875 135.871162387864
"25/10/2019" 159.08793238447 172.885151707056 161.570721845322 124.533929912523 187.451928208828 190.006962810621 180.355272516704 137.810481581764 181.302727412102 186.943867293032 184.380513638217 186.109190202876 179.029408516846 149.89378462689 183.241745046531 173.369571079069 164.559045566207 127.258405403134 171.258028617674 170.337179647877 104.000776143535 121.204345817907 180.417493857914 126.842426006299 135.814545140153 135.902180174912
"28/10/2019" 159.135524815457 172.95840649949 161.691992912195 124.542128374018 187.560568476169 190.124691318298 180.479014374968 137.832400699467 181.402273760291 187.052885656935 184.50225883261 186.237149081502 179.156517536666 149.930712613082 183.342748209186 173.495895171815 164.682590150713 127.339570136182 171.38477721031 170.462462912483 103.995579529599 121.210314375938 180.512072077389 126.930055967052 135.901566161682 135.995207794336
"29/10/2019" 159.151361656085 172.982799650661 161.7324167352 124.544837050946 187.596763769965 190.163918870288 180.520252956352 137.839681090332 181.43543600985 187.08920720467 184.542829026144 186.279793080199 179.198881037463 149.942995047833 183.376396179277 173.537999639939 164.723771253258 127.366614172823 171.427024087722 170.504222310591 103.993827097023 121.21228033398 180.543577094266 126.959258108814 135.930561963954 136.026208399586
"30/10/2019" 159.167184837974 173.00718023496 161.77284061781 124.547533654772 187.632949986246 190.203138766935 180.561487173242 137.846948486884 181.468588313446 187.125519785749 184.583393437798 186.322432585931 179.241241440603 149.955264029886 183.410034261187 173.580102316558 164.764952134906 127.39365276241 171.469269628592 170.545980854899 103.992064551332 121.21423451041 180.575071570675 126.988456318252 135.959552153374 136.057204693897
"31/10/2019" 159.182994356792 173.031548246162 161.813264555572 124.550218184704 187.669127117098 190.242351000205 180.602717018352 137.854202887052 181.501730663456 187.161823392248 184.623952059821 186.365067591172 179.283598739234 149.967519555821 183.443662447247 173.622203195602 164.806132790805 127.420685899023 171.511513827031 170.587738540156 103.990291893042 121.216176904657 180.606555499223 127.017650589516 135.9885367237 136.088196671071
