"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"02/09/2019" 158.079355495935 166.242735965486 155.853182979626 123.833840140101 180.033523640076 182.616185090173 173.619153025101 135.287091927878 177.802097987009 179.517948298313 177.321595535594 182.974573643661 172.433898511964 149.783652810557 175.884100352571 167.119589787038 158.682971299221 121.793161366405 168.577193900473 164.346178115813 105.41361109656 120.826532119923 173.179349439124 121.637606056628 130.080445708111 132.754446195208
"03/09/2019" 158.099166552248 166.269380695556 155.894010532015 123.842117863854 180.070305584005 182.655786473915 173.660598858905 135.299466806289 177.836156047646 179.554813816145 177.362371182966 183.017541458075 172.476481322861 149.800423486024 175.918532619622 167.161990420836 158.724500746929 121.819947508671 168.619788672441 164.38838356347 105.417406789182 120.834076627214 173.211898656691 121.666397664383 130.109220620415 132.785177865859
"04/09/2019" 158.118968121474 166.29601715374 155.934840023444 123.850386487686 180.107081514779 182.695382827014 173.702042406871 135.311832387779 177.870207267677 179.591673402203 177.403143325216 183.060506655612 172.519063034169 149.817184643931 175.952958357417 167.20439117528 158.766031844912 121.846730119975 168.662383719766 164.430590087023 105.42119439132 120.841612180742 173.244440923232 121.695186727959 130.137991882041 132.815906569932
"05/09/2019" 158.138760199577 166.322645335278 155.97567145 123.85864600964 180.143851426587 182.734974142901 173.743483662738 135.324188669218 177.904251641555 179.628527050669 177.44391195585 183.103469229797 172.56164363991 149.833936280641 175.987377560389 167.246792045008 158.807564588931 121.87350919619 168.70497903724 164.47279768183 105.424973902092 120.849138778771 173.276976233376 121.7239732431 130.166759488573 132.846632302862
"06/09/2019" 158.158542782522 166.349265235407 156.016504807775 123.866896427761 180.180615313619 182.774560415005 173.784922620243 135.336535647479 177.938289163736 179.665374755732 177.484677068374 183.146429174152 172.6042231341 149.850678392514 176.021790222971 167.289193024655 158.849098974748 121.900284733185 168.747574619655 164.515006343246 105.428745320617 120.856656419571 173.309504581751 121.75275720555 130.195523435595 132.877355060084
"09/09/2019" 158.217833520077 166.429075199742 156.139016429288 123.89159303963 180.290870767959 182.893288902913 173.909225639946 135.373520731958 178.040360564652 179.775882152348 177.606951232348 183.275293163451 172.731954887527 149.900847542754 176.124988912706 167.416396569427 158.973711940549 121.980590067568 168.875362904421 164.641638680686 105.440011013941 120.879155581303 173.407047802547 121.839093734198 130.281793275446 132.969505431867
"10/09/2019" 158.237578082064 166.455661926639 156.179857472805 123.899807022935 180.327610497772 182.932854934179 173.950655341358 135.385830466285 178.074370624605 179.81270602565 177.647702207491 183.318242523695 172.774529875669 149.917551518926 176.159375358062 167.458797935045 159.015252851115 122.007351406399 168.91795949447 164.683851562065 105.443750054717 120.886637375904 173.439548250135 121.867867443328 130.310542540273 133.000216240618
"11/09/2019" 158.257313128735 166.482240348332 156.220700427965 123.908011892678 180.364344173742 182.972415888809 173.992082713082 135.398130881836 178.108373805143 179.849523926478 177.688449632048 183.361189221708 172.81710372233 149.934245952089 176.193755235199 167.501199383714 159.056795382251 122.034109185368 168.960556323387 164.726065486809 105.447480998875 120.894110204646 173.472041709102 121.896638578488 130.339288123513 133.03092405084
"12/09/2019" 158.277038656063 166.508810460066 156.261545290849 123.916207646922 180.401071790052 183.011971760232 174.033507748849 135.410421975499 178.142370100727 179.88633584902 177.729193499525 183.404133251009 172.859676421521 149.950930838613 176.228128538551 167.543600910068 159.098339529706 122.060863400345 169.003153385953 164.768280450262 105.451203845545 120.901574065807 173.50452817408 121.925407135423 130.36803002075 133.061628857969
"13/09/2019" 158.29675466002 166.535372257084 156.302392057534 123.924394283731 180.437793340889 183.051522541877 174.074930442388 135.422703744167 178.176359505813 179.923141787462 177.769933803424 183.447074605113 172.902247967253 149.967606174869 176.262495262556 167.586002508739 159.139885289227 122.087614047204 169.045750676947 164.810496447769 105.454918593861 120.90902895767 173.5370076397 121.954173109877 130.39676822757 133.092330657441
"16/09/2019" 158.355845491418 166.615007712302 156.424943741155 123.948899470245 180.547921542408 183.170144282446 174.19918440693 135.459493069138 178.278286322694 180.033523640076 177.892133268676 183.575882551392 173.029955623761 150.017574845746 176.365555902838 167.713207684974 159.26453219764 122.167844537785 169.173543868266 164.937150598026 105.46601424004 120.931339800323 173.634403986748 122.040455495789 130.482960661377 133.184417964268
