"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/08/2019" 113.948528865597 126.498649095641 145.553408856911 159.240668148906 131.780179715382 135.982945011654 151.38001300158 162.299644016821 162.307750324646 167.487135819729 171.434548431354 160.393061953299 160.332467608729 154.235983536267 167.106933699051 147.840871018922 128.806830987133 125.061544711324 167.294890693531 121.010830422595 131.175839940352 164.092282800987 162.294092632573 188.929405362383 154.67296273221 123.796316185084 167.451516354939 132.074964707906 119.378259969084 123.534896573499 150.725655588714 159.750022780224
"02/08/2019" 113.966633078641 126.523957942217 145.591012538798 159.287811920764 131.824579244017 136.014754029718 151.422957493885 162.347619852883 162.362588550723 167.540183749426 171.491706957069 160.447640710902 160.387008978646 154.27990095099 167.161389967276 147.890235159164 128.834009670875 125.103447775301 167.3503834243 121.032228039854 131.219723907014 164.147588260218 162.349384558827 188.985845297108 154.726405771676 123.838428376715 167.506556618105 132.120042314868 119.401533600116 123.576605807062 150.767471297685 159.80447122792
"05/08/2019" 113.930647932344 126.683707231547 146.389782393963 160.773000754962 132.829619055633 136.475891781931 152.627884713862 163.86635247948 161.068907044003 169.253307264964 171.814048676401 159.107350198694 158.588570652672 155.536272820034 168.688098064577 148.93153872196 129.072912064786 126.234943190804 168.53536453857 121.062429549861 132.38870926502 163.750845506128 161.370294789889 190.788871540535 152.020845490981 124.508279042147 168.882934810849 132.390537184559 119.520375246906 124.534963445653 151.888149563907 157.308844473682
"06/08/2019" 113.948381886767 126.708308614406 146.426319943743 160.819364218002 132.874976916182 136.506744001797 152.669840978229 163.913587478361 161.125087063974 169.306530525723 171.872602575514 159.163265525904 158.644327338955 155.579225494769 168.743221850777 148.981921862513 129.099299925531 126.277633813903 168.591892722668 121.083305695283 132.433393788312 163.807595365399 161.427000204207 190.84457799028 152.075102300402 124.551505836112 168.93883629826 132.436888905156 119.543012979159 124.577612485482 151.92896032368 157.364227805819
"07/08/2019" 113.96610577021 126.732900536937 146.462850856095 160.865725236411 132.920339486101 136.537588091713 152.711793059641 163.96082011022 161.181274542363 169.359755619393 171.93116283878 159.219188513683 158.700091790503 155.622174146619 168.798349331193 149.032309896615 129.125678713015 126.320328534078 168.648425957761 121.104171811746 132.478082498504 163.864352262253 161.483713266023 190.900282345938 152.129367323887 124.594737787079 168.994742162993 132.483246539386 119.565641549468 124.6202660944 151.969766306556 157.419619061646
"08/08/2019" 113.983819577115 126.757482991634 146.499375120343 160.912083798427 132.965706759163 136.568424042331 152.753740946671 164.008050363194 161.237469473345 169.412982536001 171.989729458775 159.275119156303 158.755864001767 155.665118764008 168.853480496835 149.082702817229 129.152048419165 126.363027345166 168.704964235626 121.125027892826 132.522775389067 163.921116190229 161.540433969355 190.955984593886 152.183640556497 124.637974889726 169.050652396439 132.529610081852 119.588260950954 124.662924266671 152.010567501254 157.475018235897
"09/08/2019" 114.001523301926 126.782055970993 146.535892725809 160.958439892284 133.011078729135 136.599251844307 152.795684627887 164.055278225418 161.293671851096 169.466211265571 172.048302428077 159.331057448032 158.811643967192 155.708059335357 168.908615338708 149.133100617313 129.178409035916 126.405730241004 168.761507548038 121.1458739321 132.567472453465 163.977887142861 161.597162308212 191.011684720501 152.237921993286 124.681217138725 169.106566989987 132.575979527152 119.610871176744 124.705586996555 152.051363896488 157.530425323309
"12/08/2019" 114.054573928288 126.855717982068 146.645405482737 161.097493247197 133.147222758138 136.691686264935 152.921490322325 164.196947348886 161.462323606651 169.62590823221 172.224059357548 159.498918160505 158.979030332853 155.836856657362 169.074041831705 149.284323223919 129.257436269123 126.533863375311 168.931167610227 121.208351734885 132.701588624265 164.148242083999 161.767393078013 191.178772236004 152.400815479255 124.810974710525 169.27433684506 132.715123226003 119.678646731231 124.833602474448 152.173724172555 157.696694011843
"13/08/2019" 114.072237269225 126.880252985114 146.6818963463 161.1438393507 133.19261345336 136.722481378905 152.963417065951 164.244165529393 161.518555713155 169.679144113765 172.282657649783 159.554886991289 159.034841259328 155.879780928736 169.129191288472 149.334740471393 129.283760447645 126.576582548426 168.98773097848 121.229157542748 132.746302318581 164.205041070542 161.824151899032 191.234463740927 152.455129683279 124.854237491607 169.330268792813 132.761516228567 119.70122018555 124.876283377328 152.214501257073 157.752132699219
"14/08/2019" 114.08989050033 126.904778475355 146.718380497695 161.19018292717 133.238008814278 136.753268297522 153.005339546588 164.291381259777 161.574795237253 169.732381758329 172.341262254161 159.610863442478 159.090659912152 155.922701096154 169.184344376433 149.385162563046 129.310075496467 126.619305775414 169.044299340088 121.249953276724 132.791020154004 164.261847049369 161.880918325591 191.29015305632 152.509452066729 124.897505392362 169.386205057545 132.807915106888 119.723784429845 124.918968809076 152.25527348569 157.807579273402
