"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"02/12/2019" 110.733635889855 124.261455731202 145.401141921213 160.844411786627 134.348168186324 140.087680009572 157.588170794479 164.01189293017 162.769854135654 170.164760822925 173.424108006088 160.801476260175 160.281967684039 155.262505327091 169.869375509476 150.391953061995 132.147176877814 127.777571823289 175.295394671699 118.229730092559 133.880210634654 165.423446709275 163.066097830996 197.399477595182 158.533702353354 126.092024158086 170.166804233549 133.970429311335 122.148081872445 126.106109769061 151.570278160711 158.981127982498
"03/12/2019" 110.749439591214 124.284162660505 145.436101869039 160.889673753637 134.393517593608 140.117499631164 157.629548659037 164.05805671066 162.826224891083 170.217419886585 173.482654982422 160.857590366653 160.337947215726 155.304175686416 169.924141791895 150.442252052092 132.172429143291 127.820244754305 175.352464968101 118.248681815805 133.924836048082 165.480308459468 163.122974027292 197.454838227711 158.588901192405 126.13535299777 170.222428691784 134.016909765598 122.169581868501 126.148801436319 151.609768471819 159.036761791596
"04/12/2019" 110.765233076561 124.306859757009 145.471054411332 160.934932371393 134.438871314043 140.147310023646 157.670920971074 164.104217216561 162.882602872555 170.270080082592 173.541207927928 160.913711906249 160.393934310774 155.345841139929 169.978911173534 150.492555499893 132.197671395579 127.862921364724 175.409539305818 118.26762326322 133.969465211055 165.537176942783 163.179857614355 197.5101951206 158.644107638235 126.178686680821 170.278056977439 134.06339584218 122.191071903363 126.191497303573 151.649253147062 159.092403353347
"05/12/2019" 110.78101634088 124.329547013811 145.505999537712 160.980187628065 134.484229341129 140.177111177912 157.712287719014 164.150374435928 162.938988074106 170.322741400652 173.599766834961 160.969840873095 160.449928963549 155.387501676112 170.033683645061 150.542863398063 132.222903626966 127.905601648093 175.466617676114 118.286554428894 134.014098116748 165.594052152576 163.236748586004 197.565548259828 158.699321685587 126.222025201677 170.333689081578 134.109887535447 122.212551970441 126.234197364816 151.688732175269 159.148052662379
"06/12/2019" 110.796789379161 124.352224424011 145.540937237798 161.025439511821 134.529591668363 140.206903084853 157.75364889128 164.19652835681 162.99538048977 170.375403830465 173.658331695873 161.025977261318 160.505931168413 155.429157283447 170.088459197141 150.593175739261 132.248125829742 127.948285597952 175.523700070252 118.305475306916 134.058734758333 165.650934082199 163.293646936054 197.620897631372 158.754543329206 126.265368554776 170.389324995261 134.156384839765 122.234022063152 126.276901614043 151.728205545268 159.203709713318
"09/12/2019" 110.84404708771 124.420197506024 145.6457056765 161.161174807243 134.665704385856 140.296223230708 157.87769883824 164.334970209024 163.164600961713 170.533397687372 173.834061925337 161.194430895504 160.673983039144 155.55409441715 170.252804243275 150.744139347581 132.323732189364 128.076359381839 175.694971308264 118.362176156033 134.19266703011 165.821620123532 163.464386194726 197.786922999617 158.920253785039 126.395427551846 170.556255504113 134.295910362625 122.298372429248 126.405039429476 151.846591594288 159.370727263798
"10/12/2019" 110.859779171785 124.442835460852 145.680613567624 161.206413080973 134.71108384857 140.325978057339 157.919037592014 164.381110816427 163.221022174087 170.586064461123 173.892650525203 161.250596910472 160.730015395952 155.595730193875 170.307592024122 150.794469387427 132.34891420067 128.119057933008 175.752069710293 118.381055824419 134.237318546912 165.87852886594 163.521313996478 197.842257160129 158.975505761093 126.438790178218 170.611906566489 134.342430054736 122.319802558672 126.447760370474 151.886042219723 159.426415228577
"11/12/2019" 110.875501004809 124.465463534607 145.715513980564 161.251647922595 134.756467578859 140.355723591149 157.960370712211 164.427248065563 163.277450570688 170.638732295067 173.951245040649 161.306770317421 160.786055276629 155.637360984137 170.362382838777 150.844803833548 132.374086144868 128.161760118321 175.809172092374 118.399925175651 134.281973765411 165.935444294895 163.578249145665 197.897587482793 159.030765307087 126.482157608969 170.667561393647 134.388955329678 122.341222680833 126.490485469358 151.925487131082 159.482110908359
"12/12/2019" 110.891212581788 124.4880817204 145.750406904945 161.296879320263 134.801855570198 140.385459823047 158.00169818725 164.473381944466 163.333886145531 170.691401178882 174.009845464005 161.362951110462 160.842102675522 155.67898677641 170.41717667788 150.895142678584 132.399248014268 128.2044659313 175.86627844571 118.418784203834 134.326632678758 165.992366403728 163.635191636082 197.95291395357 159.086032417749 126.525529838515 170.72321997662 134.435486181797 122.362632789157 126.533214720097 151.964926317191 159.537814297756
"13/12/2019" 110.90691389773 124.510690011346 145.785292330394 161.342107262129 134.847247816058 140.415186743943 158.043020005546 164.519512441171 163.390328892626 170.744071102243 174.068451787597 161.419139283704 160.898157586975 155.720607559167 170.471973532064 150.945485915169 132.424399801184 128.247175365461 175.923388761499 118.437632903078 134.371295280099 166.049295185771 163.692141461525 198.008236558413 159.141307087803 126.568906861272 170.77888230644 134.482022605438 122.384032877075 126.575948116659 152.004359766878 159.593525391378
"16/12/2019" 110.953956229457 124.578455446271 145.889903509408 161.477770234405 134.983450015424 140.504311549756 158.166951404125 164.657883518389 163.559700107504 170.902087006252 174.244306082991 161.587748025685 161.066367340114 155.845439735045 170.636382091378 151.096541900501 132.499794590213 128.375325330141 176.094743395499 118.49411696831 134.505305143486 166.220121504407 163.863034885901 198.174181036861 159.307176401538 126.699066632904 170.945891687219 134.621665248882 122.448172952724 126.704173120896 152.122625585652 159.760704843651
"17/12/2019" 110.969616451389 124.60102408901 145.924758835397 161.522984234541 135.028859214011 140.534001135792 158.208250479593 164.704000366583 163.616171483669 170.954760984427 174.302935930712 161.643965660766 161.122452245209 155.887040364437 170.69119091214 151.146902629549 132.524905970394 128.418049184118 176.151869472999 118.512924292943 134.549982428187 166.277076912524 163.920013989325 198.229488037471 159.362481256361 126.742462772585 171.001568914644 134.668223901986 122.46953289336 126.746923040346 152.162035977891 159.816446700218
