"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/01/2019" 110.897804196783 120.11445885051 126.099832680041 125.500542042836 89.153902618195 123.685571197185 124.2779750706 127.038261920842 117.44751931534 124.451754522726 126.402414467744 116.098445085091 115.640137665424 125.448347749363 123.143110153803 104.417418772285 121.179619266532 82.3292105204489 123.16966315723 116.401515563116 88.5053642354186 119.674157807877 118.339529471757 152.087568543499 110.846014678668 81.3369242862561 123.26512673421 89.6633713231077 113.66145522982 80.8677314705738 123.780754074714 114.817911903648
"02/01/2019" 110.905378489173 120.13635027502 126.141545281717 125.547535734272 89.182337663661 123.719399585131 124.324319105971 127.085085572612 117.486052406555 124.493662687995 126.442288911921 116.136997999016 115.67838159955 125.49494843244 123.183182971137 104.450594873419 121.205326753308 82.3558157708762 123.209109930282 116.415241074419 88.534006602303 119.712653864145 118.378804945098 152.142083154203 110.883164384013 81.3624927594664 123.304744051712 89.6918682120405 113.680636471067 80.8933740466031 123.825766714606 114.85562248162
"03/01/2019" 110.912916222344 120.158206693298 126.183240682498 125.594532095935 89.2107752405261 123.753200774321 124.370658544767 127.131912334753 117.524584632321 124.535576259813 126.482161517879 116.175550628501 115.716625839213 125.541545585269 123.223259103209 104.483772079062 121.231001093142 82.3824256200238 123.248557204562 116.428929509172 88.5626531874787 119.751147763665 118.418079267202 152.196601366483 110.920314750833 81.3880621598518 123.344363310322 89.720364967404 113.69978368894 80.9190195973369 123.870772545793 114.893333059576
"04/01/2019" 110.92041738877 120.180028079654 126.22491883649 125.641531092111 89.2392153489974 123.786974724033 124.416993344895 127.178742172627 117.563115975567 124.577495229883 126.522032273327 116.214102956979 115.754870370567 125.588139166803 123.263338543413 104.516950386973 121.256642255995 82.4090400691164 123.288004970716 116.442580851983 88.5913039911568 119.789639494643 118.457352420713 152.251123140645 110.957465766959 81.413632484575 123.383984504031 89.7488615820164 113.718896860985 80.9446681243255 123.9157715259 114.931043625705
"07/01/2019" 110.942701412871 120.245281790958 126.3498493588 125.782543530263 89.3245508661615 123.888132729494 124.555969492042 127.319249793918 117.67870453945 124.703284446681 126.641633313722 116.329757970663 115.869605576322 125.727898072886 123.383596646773 104.616491901947 121.333366382835 82.4889110283364 123.406351160424 116.483312175578 88.6772817153432 119.905101558443 118.575164696116 152.414709437216 111.068922590122 81.4903489764353 123.502859635674 89.8343505095652 113.776031878263 81.0216315783548 124.050726935822 115.044175135051
"08/01/2019" 110.95005623779 120.266962793598 126.39145806671 125.829552706927 89.3530011031813 123.921797314623 124.602285316169 127.366091587892 117.717232181874 124.745224926957 126.681496544263 116.368308929402 115.907851135988 125.774476958385 123.423689253474 104.649674596575 121.358874538114 82.5155438894901 123.445800835623 116.496814997665 88.7059493951774 119.943584497392 118.614433001681 152.469245061613 111.106076082458 81.5159229701861 123.542488509714 89.8628464894043 113.795008643314 81.0472920259079 124.095698087715 115.081885535805
"09/01/2019" 110.95737445888 120.288608636509 126.433049298373 125.876564339212 89.3814538728795 123.955434457075 124.648596290863 127.412936284081 117.755758856402 124.78717076408 126.721357862881 116.40685950427 115.946096918121 125.821052067056 123.4637851353 104.682858382308 121.384349366773 82.542181356738 123.485250974252 116.510280651564 88.734621294596 119.982065208889 118.653700051864 152.52378404916 111.143230163616 81.5414978741257 123.582119288832 89.8913422926206 113.813951250907 81.0729554574992 124.14066217658 115.119595865711
"10/01/2019" 110.964656068835 120.310219294254 126.474623007901 125.923578391272 89.409909175477 123.989044116295 124.694902373914 127.459783847718 117.794284545955 124.829121949334 126.761217257303 116.445409678692 115.984342908878 125.867623357733 123.503884285658 104.716043256922 121.409790838995 82.5688234313154 123.524701570788 116.523709122168 88.7632974138206 120.020543681164 118.692965829304 152.578326360058 111.180384821506 81.5670736854316 123.621751967031 89.9198379120475 113.832859678842 81.0986218746918 124.185619160001 115.157306112973
"11/01/2019" 110.971901060381 120.331794741441 126.516179149408 125.970594827241 89.4383670111965 124.022626251754 124.741203523089 127.506634244015 117.832809233452 124.87107847391 126.801074715262 116.483959436089 116.022589094415 125.914190789227 123.543986697954 104.749229218195 121.435198925001 82.595470114459 123.564152619707 116.537100394416 88.7919777530747 120.05901990245 118.732230316642 152.632871954491 111.217540044065 81.5926504012843 123.661386538317 89.948333340521 113.851733904963 81.1242912790508 124.230568995542 115.195016265797
"14/01/2019" 110.970493222416 120.669376678941 127.06426027231 126.466033027951 89.6193697390443 124.523804248325 125.277958443469 127.989955724319 118.067270767435 125.238962289194 127.046529787423 116.723082402691 116.268771744387 126.441826641639 123.863988964509 104.971529079644 121.837667987741 82.7692989540787 123.849006238244 116.699261098531 88.9867034751071 120.285797162321 118.972308132938 153.200560606249 111.479789801825 81.7296677604867 123.962147117493 90.099040486269 114.145124388081 81.2773261885406 124.755651983745 115.451618034666
"15/01/2019" 110.976524142624 120.690194231899 127.105668620438 126.513096392077 89.6478541882689 124.557018588591 125.324278266082 128.036833905011 118.105651926911 125.280949325298 127.086291387175 116.761507275052 116.30689380242 126.48840652187 123.904113350545 105.004716933186 121.862452481736 82.795994711413 123.888451980037 116.711612982894 89.0154296626989 120.324154181753 119.011455084278 153.255119662476 111.516860271259 81.7552434555983 124.00178955151 90.1274982783519 114.163219867963 81.3030255820919 124.800579042931 115.489209831396
"16/01/2019" 110.982516902587 120.710974862846 127.147058273701 126.560161424452 89.6763409326857 124.590203993279 125.370592327735 128.083714197277 118.144031527546 125.322941180121 127.126050547493 116.799931187311 116.345015506068 126.534981730021 123.944240522686 105.037905542433 121.887201950222 82.8226948767459 123.927897732088 116.723925947879 89.0441598311546 120.362508470803 119.050600222675 153.309681084568 111.553930812941 81.7808198438026 124.041433417013 90.1559555950011 114.181279488647 81.3287277738511 124.845498092148 115.526801004167
"17/01/2019" 110.988471496086 120.731718545582 127.188429184888 126.607228088399 89.7048299721961 124.623360420543 125.41690058509 128.130596565582 118.182409551945 125.364937844344 127.165807255279 116.83835412255 116.383136841094 126.58155222387 123.984370473826 105.071094904753 121.91191636223 82.8493994510602 123.967343488335 116.736199978533 89.0728939803974 120.400860017338 119.089743530425 153.364244831852 111.59100141466 81.8063969218205 124.081078707486 90.1844124287849 114.199303227372 81.3544327651224 124.890409087861 115.5643915404
