"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/02/2019" 111.22552348648 119.936121099535 125.005280305424 123.439635247385 88.588164511692 123.064642422497 122.583911346041 124.948556394899 117.643289200326 122.49890200459 126.502693765312 116.266093770387 115.629770414314 123.688094540579 121.739510562274 103.835425435985 120.870677407031 81.4926289842946 122.403855684026 116.504418974061 87.6306166135022 120.028151259727 118.616253691001 149.619821246349 110.595052868188 81.255272609422 122.173310828885 89.9373353461859 113.544558132487 80.3540271926253 122.220168920684 114.616552294692
"04/02/2019" 111.253229151632 120.00586639243 125.135590984116 123.584070400621 88.6689899141846 123.170538931458 122.727721672811 125.092271490282 117.761323439375 122.622270412542 126.620752204186 116.384137438246 115.746637051433 123.832567803153 121.85568469858 103.930676271688 120.951786889891 81.5679411388278 122.517975637062 116.550164076533 87.7120567802978 120.144107234283 118.736021842753 149.786322576494 110.707549963365 81.3281502109356 122.287845701946 90.0206567983581 113.606028171317 80.4264260665247 122.360169849159 114.730999058144
"05/02/2019" 111.031498602775 121.143241114604 126.105860545913 123.32735390051 88.3157905883399 124.543497729845 123.000772356658 124.745366234662 117.844374413104 121.910107636738 126.67411425338 116.479539922466 115.770167078024 123.988895608139 121.319257847457 103.635981432461 122.264798794827 81.0500734374226 122.239288184605 117.039824999466 87.2185166143951 120.304837592083 118.891084981091 149.413038449374 110.711967780261 81.1507538132924 121.870640495481 90.0588417796907 114.611166253719 80.0439003105292 122.700354436851 114.706139425753
"06/02/2019" 111.035178352738 121.163995519189 126.150363951157 123.376274864384 88.3416627312328 124.578763328545 123.050042940713 124.793835839934 117.883319207142 121.950451405527 126.712470157421 116.518578152537 115.808721838931 124.038244148431 121.356897408888 103.666599425348 122.290204678334 81.0741483452649 122.276174400864 117.050725928392 87.2446311200356 120.342851882911 118.930688938255 149.468902545418 110.749060740578 81.1740403532524 121.907651890702 90.0858181729308 114.628908246323 80.0669590191445 122.748242958501 114.743741115737
"07/02/2019" 111.038813455785 121.184705711109 126.194845912339 123.425200242393 88.3675358437768 124.613994088718 123.099308743826 124.84231041508 117.922260907171 121.990801655453 126.750820057154 116.557614118673 115.847275740251 124.087589325192 121.394539730445 103.697216202697 122.315568435658 81.0982275022155 122.313058447533 117.061580811923 87.2707493196146 120.380860025505 118.970288566091 149.524772109184 110.786152825082 81.1973249544901 121.944663719958 90.112791001531 114.646607384251 80.0900193862786 122.796123884856 114.781341288628
"08/02/2019" 111.04240390752 121.20537166146 126.239306369808 123.474129991415 88.393409929996 124.649189958689 123.148569712834 124.890789918477 117.961199489867 122.031158379386 126.789163937733 116.59664779695 115.885828764258 124.136931087021 121.43218480784 103.727831766701 122.340890031592 81.1223109130947 122.349940323158 117.072389635874 87.2968712164563 120.418862004587 119.009883839795 149.580647092943 110.823244020588 81.2206076149787 121.981675980348 90.1397602569717 114.664263642874 80.1130814177562 122.843997162165 114.818939930797
"11/02/2019" 111.052907311728 121.267103774998 126.372558123597 123.620945032897 88.4710380709509 124.754567711413 123.296323083146 125.036257581545 118.077996300677 122.152267323952 126.904159318531 116.713734865332 116.00148239627 124.284935368601 121.545136532226 103.819671200738 122.416601499788 81.1945867175345 122.460572909301 117.104539609506 87.3752591238177 120.532830809276 119.12864328803 149.748304086754 110.934512141847 81.2904439330135 122.092715319344 90.2206464993291 114.716974897574 80.1822775565125 122.987570561901 114.931726538879
"12/02/2019" 111.056319115355 121.287592471278 126.416931970111 123.669891834159 88.4969160921189 124.789623504819 123.345564183507 125.084756381182 118.116922180743 122.192649872668 126.942478976612 116.752759152853 116.040031734952 124.334262956465 121.58279259016 103.850281933648 122.441754099173 81.2186871923678 122.497446086288 117.115164054766 87.4013958429773 120.570807982918 119.168220897115 149.804200272949 110.971599649957 81.3137188116408 122.129729275301 90.2476013773003 114.734459393949 80.2053463036302 123.035412704984 114.969318924487
"13/02/2019" 111.059686246508 121.308036782399 126.461284015045 123.718842790379 88.5227951070882 124.824644150368 123.394800183505 125.133259900554 118.15584482681 122.233038859793 126.980792542676 116.79178103283 116.078580108315 124.383586872302 121.620451382542 103.880891464392 122.466864361949 81.2427919452588 122.534317085012 117.12574237063 87.4275362760401 120.60877891742 119.207794028014 149.860101640266 111.00868620317 81.3369917401274 122.166743647915 90.2745526397459 114.751900888816 80.2284167442283 123.083246929871 115.006909713035
"14/02/2019" 111.063008701116 121.328436679829 126.505614198883 123.767797858255 88.5486751198854 124.859629596669 123.444031029801 125.181768097878 118.194764215535 122.273434278223 127.019100002179 116.830800481311 116.117127498765 124.43290706465 121.658112905102 103.911499794708 122.491932253238 81.2669009810389 122.571185904033 117.136274543356 87.4536804263385 120.646743597685 119.247362655914 149.916008140871 111.045771788227 81.3602627166087 122.203758434297 90.3015002777994 114.769299357922 80.2514888841369 123.131073182655 115.044498891461
"15/02/2019" 111.066286475162 121.348792135095 126.549922462108 123.816756994459 88.5745561345374 124.894579792375 123.493256669026 125.230280931343 118.233680323572 122.313836120859 127.057401340586 116.869817474341 116.155673888757 124.482223482019 121.695777153575 103.942106926223 122.516957738229 81.2910143045415 122.60805254193 117.146760559277 87.4798282972062 120.684702008676 119.286926755996 149.971919726914 111.082856391874 81.383531739224 122.24077363156 90.3284442825075 114.786654777079 80.2745627291867 123.178891409403 115.082086446709
"18/02/2019" 111.075851674565 121.409591564137 126.682715132988 123.963658379276 88.6522052299009 124.999218363166 123.640901810171 125.375846830088 118.350408730049 122.435080123069 127.172268483983 116.986853481092 116.27130688268 124.630149568855 121.808786212039 104.033921144246 122.591779408205 81.3633800497466 122.71863935476 117.177941530644 87.5582942665857 120.7985394779 119.405591641152 150.139684518865 111.194104181877 81.4533270653183 122.351821659786 90.4092544070999 114.838462493889 80.3437945535054 123.322297393721 115.194839242906
"19/02/2019" 111.078950687271 121.429768967284 126.726935118657 124.012633354886 88.6780902922534 125.03402704397 123.690106086862 125.424377789484 118.389311481813 122.475507591623 127.210545192797 117.025860412664 116.309849097938 124.679450370764 121.846461321978 104.064523496847 122.61663492106 81.3875105725117 122.755497254044 117.188242784151 87.5844570530942 120.836472663827 119.44513738177 150.195615967762 111.231184727433 81.4765882539323 122.388838471736 90.4361837889924 114.855645472603 80.366875277447 123.370082976488 115.232420174993
"20/02/2019" 111.082005000138 121.449901786845 126.771132886176 124.061612181723 88.7039763766042 125.068800218156 123.739304889212 125.472913175572 118.428210836113 122.515941448956 127.248815707951 117.064864768936 116.348390226765 124.728747139769 121.884139136787 104.095124658798 122.641447854414 81.4116454071957 122.792352965148 117.198497813626 87.6106235768553 120.874399506577 119.484678470468 150.251552262554 111.268264225378 81.4998474794297 122.425855680158 90.4631094928481 114.87278528136 80.389957735698 123.417860263172 115.269999418709
"21/02/2019" 111.085014609473 121.469989994722 126.815308376046 124.110594816279 88.7298634869836 125.10353783466 123.788498163682 125.52145294638 118.467106769586 122.556381687997 127.287080014954 117.103866525925 116.386930252162 124.778039824196 121.921819651637 104.125724631732 122.666218173793 81.435784558644 122.829206486668 117.208706605847 87.6367938412078 120.912319991403 119.524214882419 150.307493355277 111.305342662488 81.5231047399714 122.462873282179 90.4900315097439 114.889881896349 80.4130419340952 123.465629199691 115.30757696103
