"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/05/2019" 113.357184659495 120.537111702107 130.292399718804 136.727855988754 97.947841744218 125.093357727447 132.462625283175 138.727664784349 120.235359080425 138.29214086404 133.788755449175 118.738019677514 117.507701390904 134.251176199167 135.811251800415 113.874845632274 121.591213653706 91.7378751194281 133.98316308729 117.635841080536 98.2567134263094 124.486686135138 121.762159249506 166.025460496072 110.946189400789 88.1164403172094 135.086729470261 95.0405410692915 114.073837999261 89.1882682735861 131.296084067773 115.479175512006
"02/05/2019" 113.375990940756 120.561757165106 130.326455340503 136.768997415545 97.9830951433289 125.123014051279 132.500663627959 138.76940676234 120.278258028787 138.337317743729 133.835645094307 118.780688770312 117.549842239095 134.289921364066 135.857216006178 113.91500064303 121.617336676411 91.7708866585175 134.029578346065 117.657318444238 98.2917521098385 124.5309920843 121.805956874582 166.075550237296 110.986343918894 88.1488843377338 135.132979243549 95.0754129225224 114.096636067991 89.2207660386596 131.33304586277 115.52046277853
"03/05/2019" 113.394787576345 120.586394147218 130.360505990388 136.810138082413 98.0183536071429 125.15266364792 132.53869948842 138.811148095988 120.321163475607 138.382497548752 133.882540889845 118.823364494966 117.591989660415 134.328664248035 135.903184567551 113.955160841794 121.643451725859 91.8039028949257 134.075998934961 117.678786489892 98.3267955325409 124.575304482372 121.849761244076 166.125639485648 111.026505018216 88.1813336551496 135.179233871194 95.1102904863699 114.11942587152 89.2532687864098 131.370004674121 115.561756512442
"06/05/2019" 113.451119550769 120.660254132889 130.462628011539 136.933555423588 98.1241593476199 125.24157198564 132.652792063529 138.936368130729 120.449918768324 138.518054439034 134.023265126679 118.951431422497 117.71847132652 134.444879113441 136.041116318348 114.075672518471 121.721748954876 91.9029797498074 134.215292622701 117.743134653263 98.4319541935553 124.708280326425 121.981214779049 166.275904156081 111.147027770955 88.2787133571539 135.318026817001 95.2149574095513 114.187745621327 89.3508068915275 131.480863107176 115.685676483634
"07/05/2019" 113.469877545373 120.684857116124 130.496658676541 136.974692950855 98.1594380310459 125.271194584468 132.69081788635 138.978106786848 120.492850170476 138.563245868583 134.070185471613 118.994133636991 117.760645003713 134.48361277276 136.087102235158 114.115853421591 121.747832031525 91.9360147372205 134.261734472394 117.764565361431 98.4670165308033 124.752618476507 122.025046086186 166.325991315535 111.187215162608 88.3111838305319 135.364300798787 95.2498577837931 114.210502294495 89.3833295357779 131.517809884813 115.726996052216
"08/05/2019" 113.488625865169 120.709451580822 130.530684320914 137.015829668227 98.1947217595455 125.300810411589 132.728841174665 139.01984474853 120.535788051827 138.608440185041 134.117111940825 119.036842464515 117.802825235704 134.522344100671 136.133092474058 114.156039488867 121.773907095043 91.9690544028027 134.308181622349 117.785986718915 98.5020835861356 124.796963053673 122.068884117717 166.376077923395 111.227409119201 88.3436595849875 135.410579603269 95.2847638526041 114.233250667696 89.4158571455883 131.55475362923 115.768322070737
"09/05/2019" 113.507364504337 120.73403751946 130.56470493489 137.056965565701 98.2300105291713 125.330419458103 132.766861918429 139.061582005747 120.578732408518 138.653637380712 134.164044529082 119.079557901279 117.84501201882 134.561073087075 136.179087028331 114.19623071552 121.799974137463 92.0020987427154 134.354634066584 117.807398719192 98.5371553553255 124.841314053552 122.112728869628 166.426163967906 111.267609637473 88.3761406173683 135.456863224105 95.3196756127677 114.255990733987 89.4483897175273 131.591694330508 115.8096545357
"10/05/2019" 113.526093457058 120.75861492452 130.598720508706 137.098100633269 98.2653043359726 125.360021715114 132.804880107598 139.103318548468 120.62168323669 138.698837447894 134.21098323115 119.122279943491 117.887205349385 134.599799721865 136.22508589126 114.236427096767 121.826033150818 92.0351477531169 134.401091799116 117.828801355743 98.5722318341431 124.885671471769 122.156580337907 166.476249437314 111.307816714161 88.4086269245908 135.503151654948 95.3545930610655 114.278722486427 89.480927248161 131.628631978724 115.850993443611
"13/05/2019" 113.5822221384 120.832295863067 130.700736891529 137.221500756423 98.3712159398837 125.448787660171 132.918919247047 139.22852378929 120.750574511458 138.834454801444 134.351835967847 119.250485664854 118.01382458901 134.71596541548 136.363108264725 114.357047120206 121.904161936874 92.1343227687947 134.540496666583 117.89295301787 98.6774894860181 125.018782192667 122.288175000771 166.626502277274 111.428477262075 88.5061174646142 135.642045744001 95.4593795025417 114.346867791254 89.57856955785 131.739426505763 115.975048790071
"14/05/2019" 113.600912287204 120.856839058666 130.73473220704 137.262632404236 98.4065298558267 125.478362670214 132.95692711734 139.270257373647 120.793551186912 138.879666277585 134.398799072771 119.29323409089 118.056044072594 134.754682542729 136.409124295005 114.397264071943 121.930188754358 92.1673904226773 134.586975492379 117.914318134359 98.7125847609875 125.063165240444 122.332053294332 166.676585328607 111.468710539774 88.5386248404977 135.688353351336 95.49431967114 114.36956621892 89.611126888869 131.776351842482 116.016413434802
