"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/11/2019" 110.348548920079 123.518890153659 143.713191115823 158.161509022345 131.989066267372 138.872506438259 155.314363860434 161.266406101367 162.362103607629 166.963603182605 171.336272998954 160.448423596688 160.401373221692 152.923681184607 166.751493052214 147.85219474954 131.265671145579 125.382663787707 172.424372425089 117.703998216902 131.392043224686 164.096760280053 162.324096460477 194.116726455591 159.621969094422 124.109755154442 167.157502736919 132.284126651468 121.477373986014 123.869654217442 149.430557643578 159.832489994244
"04/11/2019" 110.397610375552 123.589662753522 143.821797325635 158.300117809297 132.122112323217 138.965428431973 155.442035370904 161.407612370042 162.526551481693 167.121319748028 171.507350771767 160.612097878026 160.564969438354 153.052093695789 166.913849384675 147.999894113853 131.34439459406 125.508279707479 172.592424198236 117.762967294545 131.523474391542 164.262490428869 162.489857955415 194.285633358138 159.784423242823 124.236163343003 167.321760499804 132.419383342668 121.544358427412 123.99478784981 149.552562455417 159.995844095212
"05/11/2019" 110.413942459279 123.613232902934 143.857984985582 158.346316471551 132.166471786019 138.996383464477 155.484582949503 161.454677100742 162.581381958244 167.173897611674 171.564390032856 160.666670902861 160.619516466121 153.094889768609 166.96797741047 148.049138372937 131.370614740063 125.550161410587 172.648451963853 117.782601868306 131.567294718222 164.317747988377 162.545126882857 194.341931219694 159.838589340505 124.278310689839 167.376523530939 132.464481293953 121.566665543343 124.03650951851 149.59322078382 160.05031053514
"06/11/2019" 110.430263666388 123.636792680997 143.894165420333 158.392512978019 132.210836627709 139.027328996703 155.527125710012 161.501739796107 162.63621968417 167.226478295569 171.621435950158 160.721251383512 160.674070962108 153.137681770492 167.022110045421 148.098388189556 131.396824369753 125.592047968748 172.704484969584 117.802225538432 131.611120003232 164.373012625465 162.600403348167 194.39822683532 159.892762786374 124.320463670409 167.431291769658 132.509585430424 121.588962131511 124.078236407142 149.633874119527 160.104784502202
"07/11/2019" 110.44657399134 123.660342080068 143.93033861777 158.438707315242 132.255206842337 139.058265018117 155.569663639045 161.548800442585 162.691064653533 167.279061789304 171.678488516352 160.775839314119 160.728632920583 153.180469688146 167.076247280522 148.14764355693 131.423023474394 125.633939376033 172.760523207122 117.821838298383 131.654950240247 164.428284333706 162.655687345323 194.454520189247 159.946943574873 124.362622279752 167.486065207451 132.554695746922 121.61124818462 124.119968510285 149.67452244958 160.159265990795
"08/11/2019" 110.462873428603 123.683881092505 143.966504565776 158.484899469758 132.29958242395 139.089191518189 155.612196723212 161.595859026624 162.745916860394 167.331648082462 171.73554772412 160.830434688822 160.783202335807 153.223253508276 167.130389106761 148.196904468276 131.449212045258 125.675835626509 172.816566668155 117.841440141622 131.698785422935 164.48356310667 162.710978868301 194.510811265707 160.001131700445 124.404786512908 167.540843835805 132.599812238283 121.633523695378 124.161705822516 149.715165761022 160.213754995318
"11/11/2019" 110.511706358954 123.754435733635 144.074958792046 158.623462702398 132.432741311099 139.181913785055 155.7397667726 161.737022268515 162.910516846526 167.489423654238 171.906765123651 160.994265418852 160.946955264578 153.351580250543 167.292842042117 148.344720398255 131.527714467969 125.801553377695 172.984728309051 117.900180105731 131.830320581677 164.649441749558 162.876898531876 194.679670672443 160.163740043988 124.531312905578 167.705210779018 132.735198709889 121.70028690067 124.286948959454 149.837065454086 160.377267048467
"12/11/2019" 110.527962190176 123.77793312317 144.111095621171 158.669645991401 132.477138301035 139.212802094478 155.78228034338 161.784072467191 162.965397943929 167.542021040822 171.963850824482 161.048890511274 161.001554449388 153.394347547588 167.347002142694 148.394003417569 131.55386081653 125.843468941526 173.040792580867 117.919738216801 131.874175483674 164.704748717057 162.932220097837 194.735952481176 160.217957462231 124.573499584298 167.760010084381 132.78033984902 121.722520169158 124.328707053734 149.877688561484 160.431786060694
"13/11/2019" 110.431431209508 123.828165037883 144.735509673764 159.983813770668 133.487357565752 139.519365799951 156.800951778713 163.134174800359 161.70019064655 169.164467419181 172.312859739639 159.736728315367 159.219801093872 154.4698517051 168.829417373698 149.437128942768 131.665491609162 126.967493778683 174.211838477508 117.867702822926 133.033049241923 164.344361561552 161.986862535907 196.346933670545 157.486376670995 125.269703815646 169.110678580123 133.088376393139 121.737698098261 125.2957740541 150.818906288106 157.9255657392
"14/11/2019" 110.447428058914 123.85105747618 144.770608353294 160.029137129104 133.532623792883 139.549359040922 156.842432942906 163.180398531379 161.756422977131 169.217103018091 172.371291854004 159.792700081022 159.275635854841 154.511613088159 168.884123004088 149.487341847724 131.690932655559 127.010095579461 174.268830334694 117.886848660542 133.077602122358 164.401094124386 162.043597139521 196.402362696389 157.541429985958 125.312939579132 169.166228627582 133.134748956782 121.759386102412 125.338384784726 150.858501559021 157.981051230694
"15/11/2019" 110.463414788083 123.873940213212 144.805699824674 160.074457362591 133.577894455989 139.579343226281 156.883908774352 163.226619214339 161.812662646596 169.269739944113 172.429730082102 159.848679390809 159.331478285706 154.553369784001 168.938831910031 149.537559349047 131.716363835916 127.0527011816 174.325826398389 117.905984335111 133.12215888129 164.45783354596 162.10033925039 196.457788248403 157.596491007102 125.356180291027 169.221782671042 133.181127249221 121.781064270953 125.380999828824 150.898091406194 158.036544576414
"18/11/2019" 110.511314203522 123.94253014732 144.910930885971 160.210399195503 133.71373299682 139.669241357186 157.008304156605 163.365262855847 161.981425629151 169.427658582719 172.605081373022 160.016662526764 159.499051541827 154.678611633285 169.10297818901 149.68823935855 131.79259810303 127.180540732286 174.496839741929 117.963330320967 133.255852361517 164.62809289729 162.270610565618 196.624043921823 157.761720255484 125.485932062158 169.388468689222 133.320296443541 121.846039696632 125.508870782525 151.016828293673 158.203071685692
"19/11/2019" 110.527260401114 123.965374009904 144.94599342081 160.255706811329 133.75902133947 139.699189228607 157.049758541457 163.411471227539 162.037694594992 169.480300715034 172.663543980262 160.072671954865 159.554924596415 154.720349465313 169.157700104975 149.738475172657 131.817989741525 127.223161475959 174.553852545039 117.98242528379 133.300424566867 164.684859687973 162.327382644585 196.679455438861 157.816812049205 125.529192512661 169.444038628454 133.366697595375 121.867678456461 125.551503021065 151.056396334289 158.258596395063
"20/11/2019" 110.543196453169 123.988208136537 144.981048695531 160.301011243261 133.804314085898 139.72912799868 157.091207535754 163.457676491643 162.093970870122 169.53294412336 172.722012663321 160.128688897978 159.610805292956 154.762082552645 169.212425250344 149.788715546772 131.843371475146 127.265785989022 174.610869511327 118.001510053799 133.345000616909 164.741633304453 162.38416220033 196.734863412227 157.871911523022 125.572457884042 169.499612519549 133.413104448093 121.889307347555 125.594139543335 151.095958895365 158.314128932021
"21/11/2019" 110.559122354635 124.01103252029 145.016096699743 160.346312479504 133.849611229654 139.759057658265 157.132651127935 163.503878636246 162.150254448612 169.585588797466 172.780487414605 160.184713350267 159.666693625855 154.803810883781 169.267153615847 149.838960473612 131.868743296134 127.308414265069 174.667890632115 118.020584625049 133.389580504871 164.798413740132 162.440949226751 196.790267827942 157.927018671714 125.615728170785 169.555190353664 133.459516996106 121.910926363296 125.636780343376 151.135515965741 158.36966929123
"22/11/2019" 110.575038100464 124.033847154233 145.051137423055 160.39161050826 133.894912764285 139.788978198225 157.174089306438 163.550077649432 162.206545324532 169.638234727113 172.838968226516 160.240745305899 159.722589589511 154.845534447219 169.321885192209 149.88920994589 131.894105196735 127.351046297693 174.72491589872 118.039648991594 133.434164223978 164.855200988408 162.497743717738 196.845668672027 157.982133490059 125.65900336737 169.610772121956 133.505935233818 121.932535497068 125.679425415226 151.175067534254 158.425217467352
"25/11/2019" 110.622724353677 124.102232487945 145.156215803694 160.52748523158 134.030843648835 139.878685008997 157.298371244234 163.688655781291 162.375461677527 169.796179946858 173.014446949988 160.408886134442 159.890323208995 154.970676416323 169.486099093637 150.039985562429 131.970131298724 127.478964870888 174.896016486552 118.096780803612 133.567938300351 165.02560354275 162.668171916978 197.011849634639 158.14752391072 125.788858360942 169.77754094337 133.645224029155 121.997303540437 125.807386201954 151.293689116981 158.59190884377
