"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/10/2019" 109.734065248441 128.070668987327 148.461517068977 163.411471227539 135.422349632988 138.221220055592 155.012380793936 161.1438393507 159.289226476162 166.902536287562 169.806169336281 162.306581389283 156.82624089626 157.977815342635 171.835784624026 151.810979839763 130.562304172866 125.139302469693 171.765290201055 117.034902510722 131.121039631807 161.911442616754 164.614532222846 193.960396931543 155.12644775167 123.415324704319 172.076052003311 135.04186373964 120.795903844448 123.467676940033 149.111336970302 155.547194834154
"02/10/2019" 109.750492438773 128.09471924424 148.497659251933 163.457676491643 135.467965884614 138.251593998814 155.054080346327 161.19018292717 159.345137679638 166.95510522426 169.864331445504 162.362924144925 156.881740610387 158.020520186567 171.891104472863 151.861630534723 130.588162059687 125.181734821426 171.822093043112 117.0544796882 131.16541940576 161.967874075382 164.67166388108 194.015962167976 155.181164803596 123.458342529757 172.132189113827 135.088543801275 120.818008478819 123.51009661883 149.151154918952 155.602337595039
"03/10/2019" 109.766909729172 128.118759618053 148.533794189335 163.503878636246 135.51358648501 138.281959282033 155.095775061987 161.236523964826 159.40105647369 167.007675922777 169.922499990471 162.419274230225 156.9372482315 158.063220345055 171.946427495065 151.91228571469 130.614010417738 125.22417124573 171.878900460265 117.074046961131 131.209803344601 162.024312672249 164.728802839625 194.071524527999 155.235889783599 123.501365536835 172.188330103031 135.135229462777 120.840103564613 123.552520863365 149.19096792282 155.657488436339
"04/10/2019" 109.78331711446 128.142790101443 148.569921870525 163.550077649432 135.559211427752 138.312315896007 155.137464929406 161.282862451881 159.456982852524 167.060248373127 169.980674963795 162.475631639297 156.992763754159 158.105915806431 172.001753681363 151.962945372387 130.639849239111 125.266611736372 171.935712444026 117.093604323456 131.254191441764 162.080758400944 164.785949092295 194.127083997785 155.290622686568 123.544393720212 172.244474962041 135.181920718553 120.862189095109 123.594949667842 149.230775970788 155.712647352872
"07/10/2019" 109.832479787913 128.214822135903 148.678261270281 163.688655781291 135.696112245717 138.403333630036 155.262505327091 161.421862491539 159.624807439714 167.217976135275 170.155238380002 162.644747750262 157.159357677 158.233973891166 172.167751132077 152.114951139039 130.717308404126 125.393957543964 172.106175710013 117.152216886207 131.387380617449 162.250138313827 164.957431553138 194.293744927421 155.4548688821 123.673509274689 172.412932669039 135.322027995542 120.928388287671 123.722263382933 149.350170268088 155.878172502007
"08/10/2019" 109.848847501026 128.238812984446 148.71435982008 163.734842149599 135.741754493494 138.43365547462 155.304175686416 161.468190658276 159.68076409966 167.270555493023 170.213438992824 162.701134395523 157.214904751412 158.276650447368 172.22308988198 152.165628634817 130.743108999767 125.436414237576 172.163005875246 117.171734545535 131.431785282146 162.306612505648 165.014606920379 194.349292697939 155.509633425751 123.716558109796 172.469092918383 135.368741572417 120.950435529842 123.764710369165 149.389958381248 155.933363667595
"09/10/2019" 110.212787315308 128.185814281311 147.9307340071 162.343786651561 133.79043159525 137.979041536548 154.159700306286 160.027665151653 156.926853173532 165.326789754565 167.556884244636 159.956590249818 154.430261383269 157.095624993692 170.051225018152 150.015400028278 130.564999735819 123.638359712429 169.783685675949 117.353393052367 129.553316945095 159.611327309338 162.256512938874 192.630410015032 152.737530880141 121.755872565095 170.192699514261 133.208129380892 120.954447620515 121.907805102367 148.311192270047 153.133029950705
"10/10/2019" 110.23046369634 128.211148304954 147.968024116479 162.391003293447 133.836635981279 138.010622361017 154.202437633377 160.074977572425 156.98316192673 165.380229371938 167.615657211875 160.013362212891 154.486099687024 157.139379414839 170.107398496306 150.066720458608 130.592113880884 123.681336861472 169.841263356609 117.374232655675 129.598268791516 159.668245267764 162.314106616985 192.687157477211 152.792536446884 121.799350991817 170.249655850362 133.255284010613 120.977785698041 121.95073249281 148.352019947466 153.188462473632
"11/10/2019" 110.248130766695 128.236473232458 148.005307907566 162.438217695428 133.88284539268 138.04219540969 154.245171027596 160.122288311224 157.039479027669 165.433671540132 167.674437487756 160.070142276395 154.541946621146 157.183130058634 170.163575991048 150.118046145279 130.61921931708 123.724318683912 169.898846490373 117.395063029016 129.643225438055 159.725171171078 162.371708392587 192.743903071215 152.847550614743 121.842835237196 170.306616926866 133.302444939085 121.001114960159 121.993665059841 148.39284356296 153.243903762395
"14/10/2019" 110.301076059854 128.312393364054 148.117121267233 162.579847347372 134.021503716175 138.13686780966 154.373347501951 160.264210322606 157.208480362513 165.594013251778 167.850822096899 160.240531014046 154.709539154755 157.314359213339 170.332132484027 150.272054672223 130.700483293149 123.853292130515 170.071628527451 117.457498706977 129.778124114028 159.895996489742 162.544562245962 192.914128511202 153.01264467716 121.973322833267 170.477528511917 133.443965463866 121.071049785712 122.122493763755 148.515289930565 153.410280175195
"15/10/2019" 110.31870583367 128.337681832934 148.154379681309 162.627052675146 134.067733166106 138.168409663884 154.416065053607 160.311514220321 157.264830799981 165.647465525373 167.909631536972 160.297343423814 154.76542055937 157.358094635149 170.388325954323 150.323401313118 130.727553814577 123.89629258543 170.129233390775 117.478292098198 129.823099896664 159.952954111983 162.602196353136 192.970866499512 153.067693201618 122.016830301243 170.534508463134 133.491151534183 121.094343717852 122.165446980416 148.556097191023 153.465756478777
"16/10/2019" 110.336326269905 128.362961168655 148.191631725171 162.674255705707 134.113967609912 138.199943696688 154.458778616847 160.358816379452 157.321189557957 165.700920300826 167.968448250456 160.354163906268 154.821310568849 157.40182622331 170.444523395786 150.374753174763 130.754615587501 123.939297683168 170.186843665755 117.499076228335 129.868080447211 160.009919648783 162.659838528591 193.02760255313 153.122750303247 122.060343561828 170.591493111284 133.538343876656 121.117628800419 122.208405345285 148.59690033588 153.521241523896
"17/10/2019" 110.353937363184 128.38823136382 148.228877388437 162.721456427585 134.160207041283 138.231469898951 154.501488180559 160.406116788668 157.377556630984 165.75437756833 168.027272230272 160.41099245585 154.877209178083 157.44555396656 170.500724799318 150.426110250029 130.781668604002 123.982307417602 170.244459344088 117.519851091172 129.913065759214 160.066893094064 162.717488766474 193.084336658744 153.17781597725 122.103862609788 170.648482447658 133.585542485958 121.140905026583 122.251368852679 148.637699354397 153.576735305666
"18/10/2019" 110.371539108136 128.413492411038 148.266116660727 162.768654829305 134.206451453905 138.262988261554 154.544193733625 160.453415436635 157.433932013604 165.807837318075 168.08610346934 160.467829067 154.933116381959 157.489277853636 170.556930155818 150.477472531786 130.808712856162 124.025321782605 170.302080417469 117.540616680492 129.958055826217 160.123874441746 162.775147060932 193.141068803036 153.232890218829 122.147387439885 170.705476463547 133.632747356759 121.164172389519 122.294337496905 148.678494235833 153.632237819197
"21/10/2019" 110.424288199344 128.489220591112 148.377796027911 162.91023599875 134.345214516075 138.357496220234 154.672286217785 160.59530069965 157.603107964388 165.96823136258 168.262640671164 160.638387214201 155.100889510274 157.62042626514 170.725569852032 150.631590544609 130.889792947459 124.154392599664 170.47497592476 117.602857745226 130.093054492594 160.294865838351 162.948170225153 193.311253334745 153.398164300987 122.277996570582 170.876486501113 133.774399484804 121.233921230711 122.423274193631 148.800853950225 153.79879770142
