"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"02/09/2019" 114.423373670547 127.368945421965 147.410289864356 162.07021505593 134.101398816561 137.336650226374 153.801041487407 159.79882412383 157.671129302402 165.37884823196 168.12230078326 160.675856228479 160.152674903019 156.737389101581 170.232930935418 150.344093242302 129.80831609166 123.910563680362 170.120035952992 116.462883216582 133.641437095122 165.342480542985 162.960917473623 192.347815861412 153.543124836188 122.170085670358 170.449802798974 133.690602928514 120.150746084803 122.239518190328 147.954515417217 153.951592950326
"03/09/2019" 114.440823545047 127.393279088621 147.446637530722 162.116505613629 134.146886173614 137.367271279468 153.842876304045 159.845236211885 157.726817883607 165.431361752998 168.18027305973 160.731983876706 160.208646910377 156.780224753877 170.288154743524 150.394610723038 129.834446859698 123.952875238177 170.176702444026 116.482744978713 133.686236370938 165.399425002418 163.017834744561 192.403458514809 153.597609764056 122.212950919442 170.505823582908 133.737118174423 120.173124696735 122.281802966179 147.994471932974 154.006499136404
"04/09/2019" 114.458263193917 127.417603085967 147.482978260777 162.162793396272 134.192378064316 137.397883941498 153.884706617163 159.891646101671 157.782514221301 165.483877323443 168.238251984528 160.788119024036 160.264626526635 156.823056058487 170.343381991961 150.44513289822 129.860568329566 123.995191047224 170.233373754329 116.502597013085 133.731039649408 165.456376317388 163.074759493989 192.459098691259 153.652102766759 122.255821503665 170.561848501277 133.783639181097 120.195493955766 122.324092473695 148.034423825905 154.061413552085
"05/09/2019" 114.475692611672 127.441917406584 147.519312043851 162.209078392017 134.23787448234 137.428488203163 153.926532415289 159.938053781485 157.838218309806 165.536394933441 168.296237550373 160.844261664666 160.320613746169 156.865883003785 170.398612671582 150.495659760677 129.886680493272 124.0375111014 170.290049875566 116.522439313571 133.775846923897 165.513334481347 163.131691715802 192.514736377036 153.70660383929 122.298697417777 170.61787754532 133.830165943028 120.21785385512 122.366386707207 148.074371084924 154.116336192258
"06/09/2019" 114.493111792828 127.466222043057 147.555638869275 162.255360589022 134.283375421355 137.459084055165 153.968353686952 159.984459239623 157.893930143445 165.588914573131 168.354229749984 160.900411792788 160.376608563356 156.908705578145 170.453846773239 150.546191303234 129.912783342827 124.079835394599 170.346730799399 116.542271874046 133.820658187771 165.570299487746 163.188631403894 192.57037155841 153.761112976638 122.341578656524 170.673910706272 133.876698454706 120.240204388027 122.408685661039 148.114313698942 154.171267051809
"09/09/2019" 114.545307861915 127.53907777352 147.664577492952 162.394190269119 134.419905301001 137.550821060239 154.093790228422 160.123662166884 158.06111205831 165.746485571697 168.528246078524 161.068907044003 160.544638544538 157.037146959312 170.619569518853 150.697813939711 129.991035926739 124.206833647218 170.516802303016 116.601711054172 133.955115849275 165.741235496039 163.359495204723 192.737261938767 153.924688727447 122.470254268012 170.842034802873 134.016330433092 120.30719972036 122.535610787657 148.234113560092 154.336108895569
"10/09/2019" 114.5626860419 127.56334359934 147.700876381086 162.440461152674 134.465424260616 137.581383180644 154.135593279485 160.170058621206 158.116854815615 165.799013231474 168.586264740292 161.125087063974 160.600663696028 157.079951933626 170.674817217061 150.748364130854 130.017101439855 124.249174835374 170.573502353751 116.621504593387 133.999943004246 165.798227806637 163.416464696796 192.792886965164 153.979230073913 122.513156752716 170.89808434373 134.062885888612 120.329512719786 122.57792856595 148.274037483201 154.391072581457
"11/09/2019" 114.580053957911 127.587599703992 147.737168258229 162.486729178232 134.51094770952 137.611936844922 154.177391746706 160.216452795282 158.172605289606 165.85154287158 168.644289999355 161.181274542363 160.656696417005 157.122752478845 170.730068291489 150.798918966171 130.043157598918 124.291520231967 170.63020716529 116.641288361994 134.044774115364 165.855226926879 163.473441624566 192.848509418459 154.033779460109 122.556064535747 170.954137957611 134.109447066291 120.351816318929 122.620251036135 148.313956705851 154.446044461124
"12/09/2019" 114.59741160448 127.611846080081 147.773453113712 162.532994333934 134.556475641364 137.642482043786 154.219185618602 160.262844677389 158.228363474583 165.90407448213 168.702321848407 161.237469473345 160.712736701828 157.165548583335 170.78532273296 150.849478438465 130.069204395954 124.333869830869 170.686916729234 116.661062353883 134.08960917597 165.912232850194 163.530425981907 192.9041292849 154.088336881008 122.598977611831 171.010195635724 134.156013960602 120.374110511028 122.662578192516 148.353871216949 154.501024529443
"13/09/2019" 114.614758976144 127.636082720216 147.80973093687 162.579256607917 134.602008049794 137.673018767952 154.260974883693 160.309234255801 158.284129364846 165.956608053238 168.760360280141 161.293671851096 160.768784544852 157.208340235458 170.840580532295 150.900042540536 130.095241822995 124.376223625948 170.743631037179 116.680826562943 134.134448179402 165.969245570012 163.58741776269 192.959746550733 154.142902331583 122.641895975696 171.066257369276 134.202586566014 120.396395289324 122.704910029394 148.393781005403 154.556012781284
