"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/04/2019" 133.38093699334 129.973695075341 119.963029753874 125.015049056684 133.965371997596 135.200595003016 128.41021200288 125.915248722133 133.735093430719 133.426822295072 130.799862844879 136.289188015935 128.199840916835 130.835844451355 131.501543118075 125.440317662267 121.212941110234 86.264973358039 127.404952650164 125.246619635471 110.229286625281 124.047307960909 130.371611597091 86.1043927549217 92.8956425040961 95.3291812141994
"02/04/2019" 132.755027739059 129.587078526657 120.45838997738 125.241851945701 133.931184673022 135.258266184416 128.642690873352 125.519410393008 133.61075897795 133.389829891073 130.946560193368 136.527948077283 128.495724136694 130.204835975818 131.390736718327 125.815842156517 121.675857199864 86.2824470514555 127.799929271493 125.693172694342 110.232415452986 124.344832783222 130.210236216358 86.2272463226663 92.9189666839947 95.4472175946601
"03/04/2019" 132.805911164346 129.571050363471 120.481344811924 125.214377844734 133.912564424021 135.247736319204 128.644086115723 125.62024323048 133.593735081521 133.373013924347 130.944955375351 136.53527194858 128.504727015384 130.294938102999 131.368845790718 125.828474763333 121.69825123661 86.2619266825782 127.819981674398 125.714908738887 110.177959215685 124.294688675645 130.184823961303 86.2151226007763 92.9029526856325 95.4399705073444
"04/04/2019" 132.700949333656 131.355638582839 117.608756413537 124.936133746942 135.667517933642 136.463409688291 128.526840879868 124.227462596362 135.646897747105 135.105213053298 131.467641370805 136.392583824866 127.705946590917 129.379976858529 133.379780264469 124.297050528278 119.109921234517 87.871528612376 126.079464904396 123.439966765648 110.062516759645 124.254635158592 132.313008085874 87.2048539084471 94.4097673554663 96.4074933726601
"05/04/2019" 132.704713700291 129.509042581116 120.456904006734 125.239613835105 133.875400619072 135.200020684282 128.606468169066 125.707798148742 133.543614493334 133.323866419999 130.885435109779 136.491622368258 128.45495714201 130.219022789264 131.324079630966 125.797923594623 121.658752257337 86.2324302680939 127.780175816972 125.684708292249 110.124622886617 124.149789971901 130.150497236166 86.1918441927978 92.8555979794543 95.4051466334429
"08/04/2019" 132.906882779945 129.65049895735 120.41878638396 125.189084663479 133.94542734022 135.250026392519 128.621170408329 125.890101111027 133.634079404807 133.391320940775 130.91342072143 136.513196740432 128.45446091555 130.435292383897 131.406386014128 125.784749867958 121.623990398048 86.2715596787354 127.766996328801 125.661065902156 109.964815221308 124.023225617313 130.245784192205 86.2109987694709 92.8923558613495 95.4301175631459
"09/04/2019" 132.97870552499 129.732188540042 120.329950559053 125.097639721303 133.946910618301 135.247481315943 128.584843068008 125.584100567658 133.694698995726 133.4051222459 130.913075563977 136.512081539756 128.420435616649 130.422748559447 131.426826604503 125.719348287124 121.553862789274 86.2933428794955 127.737631589783 125.605050389624 109.922420598859 124.183854016849 130.266211606435 86.2086658590724 92.9254491228532 95.4530536080253
"10/04/2019" 132.505629074213 131.383828676756 116.376765042242 125.149257810003 135.978262624515 136.686494127426 128.383732069172 124.356557630176 135.967898961041 135.409889823883 131.517849861677 136.250123906635 127.314425349258 129.254686997757 133.688278646658 123.624874344764 117.994617081183 88.163237518803 125.336571291967 122.470451535181 109.846494672402 124.383287991744 132.595460766954 87.4260456014801 94.6927865063868 96.6266337185668
"11/04/2019" 130.491466372575 131.134565299263 120.973127800867 125.375424300311 135.12206526431 136.340062314415 129.493487408457 126.960017461859 131.068135370683 134.558410630537 131.879114714645 133.618175399867 129.25729848176 127.991068333884 132.633480431377 126.497754795613 122.209701194411 87.0481329423803 124.962391666403 126.306176633211 109.824208169208 124.069899953889 131.526741936228 86.8763487960697 93.6988114960975 93.780212108034
"12/04/2019" 130.849227310046 131.308196420029 120.693215417189 125.26065897149 135.115671908987 136.284715305004 129.347918294656 127.370517704387 131.104807010399 134.552676433835 131.771533114606 133.464886286645 129.076137298281 128.404707309065 132.667539201544 126.278918051099 121.946607386728 87.004041673437 124.729732965334 126.04150420847 109.782482850205 123.785320779555 131.582916993797 86.7791066093511 93.6510285280178 93.686507435284
"15/04/2019" 131.139057194413 131.546352981383 120.43855079187 125.084336471993 135.159211546561 136.271695384677 129.237895302728 127.408292632037 131.199191601724 134.593579030376 131.704052419997 133.353187168591 128.926174819808 128.641527005888 132.752464609391 126.089813986278 121.704794069809 87.0262911550101 124.529587659056 125.819123981322 109.680923353265 123.598538866421 131.701894962723 86.7393207107881 93.6619970099897 93.6463689164647
"16/04/2019" 130.941579121469 133.05636275157 117.042186674796 125.06760800849 136.839076354409 137.448180098974 129.021548867617 126.316771035478 133.130993437205 136.259338994052 132.18429839298 133.107492137378 127.957325959293 127.815066166481 134.647571272895 124.27267039666 118.653671635262 88.5687766288639 122.476803509747 123.13700292321 109.614665741896 123.839402102254 133.665677036522 87.7142938814618 95.1268781397073 94.6025901765189
"17/04/2019" 132.020458418723 133.459345360612 117.630771085216 124.741114767787 136.352340588607 136.939566088621 128.707833002531 126.616923179244 132.811531437889 135.779012535934 131.761966277352 132.844441787924 127.836852294465 128.834345672252 134.259015350614 124.369814942102 119.139243421582 88.0743110625091 122.685526532059 123.545388630743 109.583509731736 123.641292299854 133.388570782055 87.1779954614682 94.6274445721594 94.1011344243069
"18/04/2019" 131.502819436702 128.12079044796 120.80932293004 125.005075748991 135.518493064852 136.64269964636 129.607776606261 127.774451692289 131.53799358984 134.951438611503 132.071758122867 133.731263228819 129.301285095455 129.033169486441 133.099312646751 126.464849671892 122.0766739461 87.2722250807384 124.899902644159 122.755697626629 109.560601489652 123.383860152094 132.041125049637 86.9913716149794 93.9240838061796 93.913922229007
"19/04/2019" 131.423780895133 128.152514054994 120.777643641878 124.985636440846 135.507350161591 136.632673025622 129.589490677814 127.341029382152 131.562661928978 134.946186876328 132.070240501927 133.739373720783 129.287656617614 128.844016020281 133.094504345341 126.43837370845 122.051407032962 87.2952998316965 124.900885231137 122.761028914706 109.513460676023 123.611215812333 132.039140832641 87.004892283917 93.9496305944535 93.9401676790225
"22/04/2019" 132.250041352153 129.610550143591 118.863307944619 124.72015566949 136.316421178316 137.039509561975 129.160051504929 127.004735668015 132.667710535426 135.739472932383 132.029202050811 133.296345386495 128.474019230761 129.178813549239 134.148996887239 125.222970157201 120.282688791783 87.9751036828166 123.574777358577 121.152853417561 109.341023859699 123.459912927644 133.255973948586 87.2295984446428 94.5534986361394 94.1570306536131
"23/04/2019" 132.354001970965 129.633581288875 118.653379264238 124.684891794303 136.330835684651 137.025475573595 129.087442366302 127.309584879896 132.672243552366 135.748605582156 131.975254528902 133.199041394771 128.362141957565 129.348422526479 134.174095802454 125.08241291842 120.084009501319 87.9663770846069 123.401052771299 120.94620830056 109.312076837062 123.235222359273 133.287154481841 87.1995886219639 94.5369956955786 94.1143956308921
"24/04/2019" 132.327269787504 129.610878932781 118.827519095844 124.638477956908 136.244981750226 136.956332649558 129.080745571892 127.070809848644 132.601626374289 135.665009644528 131.94171759654 133.207897068812 128.398186980635 129.266640135646 134.087957384391 125.161551046028 120.237693251808 87.9089546660654 123.507961374819 121.093940797948 109.284571455032 123.327232071123 133.209236352073 87.1553176938085 94.4800277853052 94.0753116827138
"25/04/2019" 132.193384482762 129.808769370319 118.373341260244 124.634192505802 136.553776436238 137.201501776318 129.123485424817 126.803987674658 132.933610593192 135.971942938539 132.089048665358 133.249233789438 128.32658469024 129.028183217378 134.415510270859 124.957782112837 119.838228915645 88.200926473713 123.269185637079 120.756425974233 109.208053644139 123.392796294609 133.536481490601 87.3740232587947 94.7629070296997 94.2912761285861
