"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/08/2019" 131.87084848593 129.789973463897 118.32727896703 122.772993231195 136.676875988733 137.305299979426 129.231511399429 126.626427406242 133.030150592054 136.089318503968 132.193993202024 133.294066893381 128.383961603568 128.780003618749 134.544195647034 124.992431048429 119.803833914548 88.8929456729288 123.261287731579 120.710245915076 104.781127516256 120.674426316767 133.669486990661 87.9472642364794 95.3271041777758 94.7574732273509
"02/08/2019" 131.66624884209 129.805784307522 117.976705486744 122.847952975707 136.85379525463 137.454451100533 129.253950135721 126.485398668044 133.200082352964 136.265352508508 132.284809781059 133.311059173327 128.323339795361 128.547740208007 134.71776415844 124.834567588764 119.495426533506 89.0692149334046 123.073920560123 120.446395590009 104.711080461136 120.770165093758 133.827924841173 88.095006509908 95.5004306918992 94.900301482026
"05/08/2019" 131.601462796637 128.272376684834 120.796240853159 122.887399999439 135.549836344146 136.64247766023 129.633987407298 127.698530391003 131.595095468373 134.976458562774 132.086643336188 133.716423871392 129.304364567438 129.208990465149 133.160108602775 126.471615641569 122.059725743632 87.8715218072483 124.891178294776 122.738010577318 104.61172511568 120.457773507295 132.146892674489 87.4592363647832 94.392450723 94.2833561910922
"06/08/2019" 131.52507204556 128.220121685147 120.85504836535 122.925571475309 135.543884361832 136.648408341839 129.661405588369 127.67979713379 131.576790689167 134.970510362618 132.104275687587 133.743498515925 129.339948522135 129.140699793835 133.144588733738 126.516270004164 122.115004061678 87.8723849906255 124.937301791038 122.789820750783 104.560483099545 120.491187443771 132.124866850312 87.4735157572345 94.394644392394 94.29633010663
"07/08/2019" 132.214059324724 129.500239111612 119.282973456161 122.687756003828 136.190565390268 136.949438086399 129.270962193083 127.034068139958 132.488505662328 135.603692645116 132.03166581219 133.341281140362 128.639319213914 129.281800567616 134.010711303095 125.494999116222 120.657246426214 88.4222451835073 123.82793937842 121.457479780118 104.518513695834 120.489828908306 133.140947173756 87.6278255140277 94.8747998314932 94.4428082761041
"08/08/2019" 131.805547005901 128.19109766806 120.749545762864 120.322831967606 135.448624244762 136.54755883255 129.550800902618 128.771443246904 131.485094904735 134.873590454906 131.995795050156 133.635154111526 129.228648269831 129.660268799354 133.051910040051 126.406366015086 122.006089548464 87.6929580228649 124.826282714567 122.68006380328 104.469891594226 121.945590987771 132.039349851757 87.3119689309164 94.2310898013801 94.1448146777254
"09/08/2019" 132.063139462755 128.530483159269 120.475027260074 120.205719752364 135.571450574898 136.59616894914 129.470155478554 128.447314536631 131.672737386136 134.992342138394 131.9722631847 133.554039070167 129.094736091428 129.730605661537 133.227068495276 126.220011036649 121.748021857357 87.7898498675872 124.625429131899 122.443520110748 104.422067687293 122.000558323201 132.259297990233 87.3238714018019 94.3113266698935 94.1553355177919
"12/08/2019" 131.745336872617 128.163118437645 120.845264583484 120.243252471477 135.473765513106 136.584002303351 129.611153197211 128.725854942936 131.49259041762 134.896802200033 132.043495426823 133.692798397979 129.296634514867 129.597762663694 133.065544704172 126.486373929458 122.095573282171 87.7230237857022 124.90413398582 122.763716476102 104.295582334949 121.843993813602 132.049577761626 87.3556064950085 94.2599882146975 94.1837692150721
"13/08/2019" 131.946342077401 129.1518990777 119.024680932668 120.169645485147 136.260993107048 137.057346201542 129.336551545625 128.218760815202 132.47147952618 135.672562420446 132.129183588897 133.399193267482 128.643345479754 129.406254275093 134.0164222668 125.421751157535 120.43768275089 88.4302324901337 123.721220463171 121.278121939923 104.23195635028 121.893653116172 133.08745147788 87.7100861644264 94.9099763640369 94.5247981976246
"14/08/2019" 132.06957240594 129.380235896552 118.833878608982 120.152937367338 136.307239759852 137.035709734647 129.216931027237 128.05808289953 132.577809503075 135.715158417308 132.048804269526 133.276537317316 128.49186734846 129.40673150332 134.112726638193 125.248268408595 120.246392579453 88.4729372880031 123.54126251064 121.089008316637 104.192251521474 121.936289465349 133.224343712199 87.6747721913601 94.9340170255354 94.4848177516541
