"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"02/12/2019" 131.195257409012 128.006600915565 119.268041167038 120.178690028575 132.24107228711 137.436888722858 130.86100682583 129.735426180504 131.901848894335 135.538901853488 133.100206653375 134.907339741278 130.672470959801 129.396326227497 133.553884075704 124.519738826888 123.797625350866 86.7286428476191 126.441860165214 124.390806731765 116.376488950839 128.628831387613 86.4150702138586 95.2250770938095 95.2611601740898
"03/12/2019" 132.346846014159 127.887704179087 119.554978925279 119.190387848187 131.616433704401 136.915262333349 130.578785773553 129.452154022674 131.301723234522 134.933247627202 132.723833458438 134.669666413408 130.548772567414 130.643927930794 132.911106055546 124.518994189216 124.027478425846 86.0690791499297 126.520709708817 124.578302083849 116.301554269585 128.024504909068 85.8857911636844 94.6090508282373 94.761361834842
"04/12/2019" 132.306036980097 128.188226124959 119.215682852971 119.124966853484 131.9257665502 137.146520187741 130.620209505858 129.227384909319 131.656237938231 135.240078060743 132.856274589929 134.709216540146 130.497927167489 130.469649084501 133.259411123292 124.366453699574 123.729748244901 86.3519569526118 126.340063815456 124.323574034514 116.265008684275 128.389376775827 86.0734729057194 94.8776440888019 94.9475837192771
"05/12/2019" 132.594319225447 128.562524966851 119.393767340417 120.26179059295 132.488904487692 137.676429588212 127.414065952626 127.366674344434 132.19469458485 135.798539997381 133.307367302242 135.111126543455 130.848917922687 131.158075073493 130.019849848555 124.664829075857 123.937981384106 86.7334077970079 126.600235111434 124.539631001172 116.341765269485 128.927834509552 86.4154176649965 95.2741331439998 95.3071218437243
"06/12/2019" 132.351302339062 128.401634752356 119.403419638377 120.234341043296 132.437478254142 137.642222968528 127.400097104386 127.388516956898 132.126094867598 135.750527751424 133.285609362234 135.095056945529 130.84265029382 130.97253650232 129.954634669145 124.663799308095 123.947659137427 86.7162954921511 126.601246211227 124.544649006042 116.2453498013 128.848370259268 86.4147744148531 95.2569754664559 95.301708296238
"09/12/2019" 132.443437661604 128.573508575574 119.161393907334 120.109820913337 132.489170443999 137.652288940965 127.309096453405 127.469625933222 132.220593061949 135.810482952974 133.237252450056 134.998192980266 130.715876414869 131.012242133559 130.044372467012 124.491420965208 123.730001793891 86.7691607171147 126.416448986025 124.331036781372 115.925077493705 128.960855655365 86.4060828667947 95.2984278634402 95.2900886590648
"10/12/2019" 133.874971750775 130.134198883042 117.907927061773 119.963053794632 133.000335087186 137.851531422167 126.923757482628 126.777817125388 133.027283096455 136.323922095155 133.109411343965 134.601597800655 130.106685730436 131.736841010995 130.803496827836 123.63334576508 122.5753588885 87.146976366246 125.493836946475 123.245334970062 115.912635824569 129.89710004571 86.3988564664418 95.617499795831 95.2902048705501
"11/12/2019" 133.677614992329 129.268262487166 118.8234978649 119.365866468815 132.418621227321 137.481242913949 127.030401874096 126.097111836835 132.296281717603 135.727106780254 133.022053722552 134.757804395433 130.424585121206 131.754781834491 130.058243715716 124.172616690394 123.38142212754 86.6114741687931 126.116907709874 124.020848714517 116.412391332053 129.095587323429 86.1551085936703 95.1332133492554 95.0593721965469
"12/12/2019" 134.078388584658 130.578350963356 118.368841634236 119.923810361276 133.587698611448 134.54606253668 127.484387764749 126.733116266097 133.581798712383 133.046526870041 133.67845557636 135.166827034396 130.650403872234 131.815915855141 131.375082076696 124.152255786704 119.686595757528 87.6044113042065 125.996034713513 123.728812820019 115.851518642674 130.447552558395 86.8463392854087 96.0876321836737 95.7537746895625
"13/12/2019" 132.240806493654 128.301080246904 120.816825799215 119.908206467375 132.877523444612 134.374594282431 128.329738731643 127.304852656392 132.41068799669 132.336387769832 134.100113616167 136.069813256948 131.929327472293 130.965518881381 130.252157595692 125.860094274573 121.953992950157 87.054238733361 127.849346151328 125.880487895984 116.040025215355 129.046359267718 86.9470024440142 95.6622090446161 95.8703781755634
