"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/02/2019" 129.562990921473 125.445236499317 116.838714319589 124.340243755472 129.532637399454 134.738905362683 128.144297199821 128.438441280798 129.218776056053 132.839440182578 130.397890079463 132.238356267092 128.020120670254 127.805616718957 130.82378495369 121.912278488467 121.318145214937 83.0406149340874 123.88370796408 121.890017686709 111.901942457034 123.262122690529 125.89911240736 83.1250703406227 91.8053577366406 92.1196692484069
"04/02/2019" 134.98138430203 130.347203708683 116.396606144666 123.980098893382 132.585128761048 137.230603125316 129.456444489471 131.23018097537 132.776464141437 135.876940706564 132.231218742468 133.630271070518 128.90499897121 132.642135127929 134.287374491302 122.293470234522 121.067239397709 85.0373544901571 124.153113409083 121.831620055352 110.659034482698 122.394940132662 129.665789473503 84.4310361315127 93.8151818895843 93.574623530738
"05/02/2019" 132.414899179662 128.739871009778 118.309871516436 124.632882099165 132.468204821435 137.477691609285 130.383436852258 129.465253302028 132.263887612438 135.742071468783 132.864162560825 134.572622600744 130.101482780949 130.05279675825 133.83780720714 123.784855725847 122.869510275852 85.1353288600897 125.691619274455 123.548779355506 111.92234609986 123.576793163424 129.000080619676 84.9452006961473 93.9576857267951 94.0650753337233
"06/02/2019" 131.958592363248 128.521770587041 118.662988526062 124.328694852158 132.496497161769 137.56171382869 130.576602396058 128.906294979465 132.228449646641 135.766035887228 133.009783893142 134.767372271992 130.337251163307 129.522524047544 133.81296468449 124.069539881477 123.203650790353 85.2180898846264 125.982480831488 123.868842375128 111.86333469674 123.356216757944 128.942033301143 85.0856995576729 94.0413409367287 94.1982182463768
"07/02/2019" 134.194479161925 129.618015013484 117.221642492629 125.245817110397 132.461815998843 137.291442639188 129.827885855379 131.463738189062 132.482606340958 135.759056684388 132.467169644842 134.012619605632 129.405005576471 132.096967354749 134.02282986109 122.918258111678 121.850539817677 84.9210650277493 124.811319462703 122.572521782749 111.691024252189 123.794457681887 129.29395749031 84.5311432045666 93.7465584573423 93.6832840129392
"08/02/2019" 132.149881321425 126.87760598264 120.149798628782 125.915910007876 130.965178585182 136.436998670034 130.311658192382 131.422162864072 130.493698477645 134.285365610585 132.331792181707 134.507218790134 130.494844389253 130.793155229567 132.118400687949 124.662681065266 124.518140088713 83.7572006130843 126.736000902764 124.969037400267 111.84367774333 124.468257140036 127.116926227424 84.1020446494447 92.6855200984851 93.241502975412
"11/02/2019" 131.254825662459 127.518474977103 119.019636221319 125.270068824277 131.883485071869 137.134309828702 130.455622823585 129.555519881183 131.501980995457 135.186382221357 132.749480827677 134.636276174282 130.341454527309 129.249950688849 133.11588639687 124.185802277258 123.528530221034 84.7154375860596 126.153950772241 124.132241646401 111.962670318419 124.151833530046 128.143202545307 84.7879951173622 93.5808809964253 93.8999702809233
"12/02/2019" 132.783045986311 128.000051738834 118.668350293465 125.603841969924 131.614592082251 136.792372570731 130.041902308192 131.159353461949 131.358229119436 134.923599555706 132.35451098402 134.227194610142 129.930350664488 131.046278736354 132.947052666139 123.77873198708 123.169290447906 84.2989045460057 125.761063201282 123.757450928486 111.863961261431 124.211290398847 128.061241712737 84.3076746194647 93.1737917512836 93.4444950048411
"13/02/2019" 130.668118894287 126.873023237914 119.119123168533 125.848480030745 131.465486449564 136.789583858225 130.278839921208 129.612995600584 131.009485094022 134.764912751004 132.496045992483 134.449972912482 130.228840551722 128.833585056878 132.636965954777 124.155036752847 123.593572852359 84.4033897686361 126.135754871591 124.166434278661 111.823057994482 124.760776270893 127.626547782042 84.5775054365697 93.2714457084168 93.672913228481
"14/02/2019" 131.815391364039 127.386300026846 119.407878778487 125.37141871876 131.634918783803 136.972236728815 130.47147637434 130.487018628369 131.223049903301 134.950553483523 132.67890620026 134.660243480268 130.45143543128 130.106465016923 132.841661001716 124.385601498924 123.883034052364 84.4110834438514 126.390927090034 124.442484790382 111.867895353261 124.048378204384 127.851748477707 84.5851851031972 93.3102082797519 93.7160606567381
