"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/07/2019" 132.089738230462 128.909629685088 118.180680531662 122.786262393537 132.559317286284 137.657515272624 130.56785259704 128.469295732405 132.437550988725 135.965125606049 132.979489665302 134.59583818508 130.174787950117 129.496070871794 134.137998283908 123.731865615703 122.872152570471 85.8586599034325 125.659072161977 123.473882554789 106.19914608058 121.483321661481 129.167632004315 85.501490913092 94.5857592229845 94.5447456003758
"02/07/2019" 132.472987488152 129.331315655396 117.620271417064 122.635706191529 132.711427732521 137.708137354974 130.398690397164 128.53395219419 132.685486567396 136.12647225992 132.901672068818 134.408333677245 129.899410391844 129.776289390447 134.384556052779 123.345886897061 122.360227237131 85.970486853285 125.247860223036 122.990853634854 106.139081602105 121.333207715994 129.450293778109 85.4854223218309 94.6806412666992 94.5296978754388
"03/07/2019" 132.349674035434 129.211678289092 117.807978127147 122.657579641109 132.681995118204 137.723439273467 130.483964945243 128.500159524235 132.628822485281 136.106509784197 132.951409264337 134.488797282582 130.011319523103 129.676496016614 134.340179268457 123.482086226965 122.544250896334 85.9533838333692 125.395150868057 123.158352611981 106.081443840838 121.360252761711 129.378459808 85.5079337455564 94.6731042310682 94.554250231013
"04/07/2019" 132.364078659214 129.181539812453 117.767628742701 122.665122714221 132.62420038748 137.65816655957 130.419533234813 128.552429727703 132.576049836777 136.042894942738 132.892601358437 134.433264747055 129.955258495296 129.712565659883 134.275868803771 123.43280368719 122.496157856814 85.9048618331315 125.348086378068 123.114796739745 106.04820990622 121.326456755807 129.32794558435 85.4600059462099 94.6221939184828 94.5049670147122
"05/07/2019" 132.268987913563 129.099547880617 117.860050773946 122.661301450555 132.592540351297 137.665424068263 130.470740193214 128.495996314932 132.532007739991 136.030610373344 132.911952224762 134.465515100041 130.01273293374 129.620804426231 134.255187384493 123.495232521293 122.598594629058 85.8868182283756 125.419097297408 123.196419656389 106.022408064354 121.35881063227 129.272732906793 85.4636925631853 94.6125274300498 94.5104124563435
"08/07/2019" 131.9413075523 128.88217199248 118.344092075458 122.746510070101 132.600801398925 137.720344711942 130.660778411125 128.343371723454 132.473654492825 136.008877060852 133.070649740224 134.707621921077 130.296071302275 129.314507383114 134.159730630737 123.863829618688 123.02880171909 85.9184445314266 125.806944968356 123.633292807588 105.877194032591 121.338724424594 129.188616368939 85.5779155621552 94.65065100045 94.6248946494557
"09/07/2019" 131.919658451425 130.267902616772 116.0353225161 122.631713076156 133.863236798427 138.586337400657 130.487831206356 127.285895550012 134.000909911162 137.294307595204 133.375425516511 134.474604634018 129.581657330435 128.656998609035 135.690084420054 122.560568884343 120.968221093232 87.0812968831861 124.354451229779 121.773134151647 105.79251788676 121.53987076349 130.772583166025 86.2395253818726 95.7448731133508 95.2742063354946
"10/07/2019" 132.409977136842 130.216401102548 116.640991950999 122.463060227428 133.409550484666 138.207631114347 130.379778787935 127.581913175238 133.569615062223 136.858882074863 133.112196734098 134.357898396651 129.631206310429 129.196351437619 135.268504447133 122.792459796398 121.506451086743 86.6385837129476 124.646894542281 122.212634059422 105.788522051892 121.357248491113 130.368765745522 85.8608245890209 95.3116292077029 94.9053011687542
"11/07/2019" 129.915522082069 132.419366612315 115.335735223969 122.802545972168 135.353269527101 139.746840714141 130.920761399331 128.475586011501 131.924148890377 138.766947122979 134.147800945801 131.131821643533 129.725339435628 126.463970149795 137.371592609787 122.380813563143 120.372309045712 88.1185830239736 120.596044367758 121.303306285915 105.730332907989 121.49211331002 132.596690110881 86.8978590410258 96.772538473744 93.6122784129213
"12/07/2019" 130.525642097684 127.311549424186 117.565377335232 121.942788615166 131.170385660551 138.756192856254 134.7010452662 132.854174424313 131.070456262551 136.952886397444 132.332120316577 133.612279814803 130.263814958049 128.033074770711 138.122012872437 122.913917116369 124.27883103945 84.9431755700198 124.949423827578 122.782021415425 105.696009124387 120.809456315391 127.673536723311 84.7083576720384 93.9364359096196 93.741011974545
