"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"03/06/2019" 131.752760833382 128.323560806428 118.878606009826 123.436577514359 132.326119087995 137.471856696156 130.646109238739 128.972367558487 132.055645930623 135.632621754321 133.003601157275 134.789392486652 130.439630273701 129.47323556351 133.663917040682 124.200084229307 123.42883487431 85.6223704965066 126.142618509147 124.059056011579 107.464829284213 121.939917537058 128.758792509713 85.4494222318431 94.3566999922652 94.4867493600918
"04/06/2019" 131.843220035528 128.434033337787 118.850046166696 123.385864196253 132.39510314176 137.525559549779 130.668819706471 128.945965803506 132.13731474055 135.701509436352 133.038966438005 134.811297464867 130.448772003304 129.526677976649 133.745097996923 124.195394053703 123.406193961677 85.6749478230138 126.133714785471 124.040699135741 107.402796764152 121.903394137698 128.846491529428 85.4818925978034 94.4072351859248 94.5208800727217
"05/06/2019" 131.836214383981 128.426463929311 118.813279700779 123.379282533604 132.374786100204 137.502208921933 130.640898017577 128.925751467291 132.120518192953 135.681950008956 133.012035489906 134.780798108019 130.41746002905 129.51481376295 133.729277837789 124.16178364497 123.37081443583 85.6610171618639 126.099236515992 124.004807344243 107.357301658406 121.904173553742 128.831520600508 85.4639747000796 94.3915674215821 94.5016193839565
"06/06/2019" 133.336707138708 129.740104218048 118.279573041746 123.817213621903 133.091157426147 138.016680261722 127.119127594044 125.960593018885 133.009728177088 136.391515050279 133.29812617783 134.898439136151 130.360100234979 130.91090361004 130.774745418542 123.926293802679 122.903281448115 86.0907379120853 125.819463838598 123.605503083231 107.292816264927 122.228277643511 129.792340042143 85.6645365612534 94.8160799235886 94.7377738229169
"07/06/2019" 132.012422408145 128.621123717223 118.640177473109 123.275092761861 132.453686421783 137.540262353591 130.599613292934 128.895267542529 132.235615589576 135.761380042293 133.003924161415 134.735179466882 130.340316775404 129.628751612111 133.841719786989 124.04861739956 123.212550057272 85.719945336737 125.976157170158 123.857445359622 107.284885565929 121.819734770616 128.962384164811 85.4729858992087 94.4429539637221 94.5113437247209
"10/06/2019" 132.232038537319 128.836633545365 118.319720236126 123.22174054925 132.497756094186 137.525622365512 130.471263105024 128.921599149207 132.333378853508 135.807757306251 132.922300995883 134.596938836529 130.15828614967 129.790350703835 133.937012746587 123.813813824497 122.914264513799 85.7479832785396 125.727169613232 123.573328276162 107.143929323111 121.782392229496 129.08291530846 85.4311095652586 94.459280116421 94.4682886055549
"11/06/2019" 131.986008075637 128.608307039559 118.5211756361 123.266493182118 132.408187949937 137.487474722164 130.527272443039 128.834530269895 132.202129565884 135.722025013026 132.935037259337 134.651062910417 130.252096389278 129.584464176183 133.815438372104 123.946740841771 123.10290919832 85.6925201900676 125.871320775909 123.745012724086 107.081017186174 121.836540965254 128.933191944574 85.4307494513483 94.4112626730225 94.4656405803527
"12/06/2019" 131.95250373113 128.612758854059 118.600662522034 123.222482790608 132.449286829197 137.539653508897 130.592595961713 128.770824110572 132.234886727338 135.765559938786 132.993335416662 134.715542447341 130.321670026494 129.535730339731 133.8522729585 124.019343057236 123.183129237102 85.7311722661745 125.945659926976 123.822187497018 107.047336142687 121.80471382851 128.961294115217 85.4766762895153 94.4525698458522 94.5129207014173
"13/06/2019" 132.272987259519 129.056251227081 119.132548735582 123.184925022322 132.980163917114 134.179119957446 131.14021402042 128.853462853469 132.745357023204 132.424665486001 133.541618065075 135.278714898001 130.874611076767 129.772467949844 134.369701804073 124.563959689546 120.348305531265 86.1269265082793 126.491891166011 124.365113823886 106.987867666241 121.76854503659 129.459324621309 85.8746424206502 94.8705997094524 94.9357880548762
"14/06/2019" 132.43001704527 129.023087059869 117.966477961016 123.143189710777 132.50330940212 137.475658546973 130.310042279107 128.929831448406 132.395650218941 135.820113772477 132.803716631363 134.419952593783 129.941276228682 129.932124580387 134.001257836126 123.542520264347 122.586060369624 85.7489235380973 125.442963101433 123.254874597005 106.962347042284 121.724571287446 129.168021323089 85.3614228116684 94.4479826792253 94.3961299342886
