"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/03/2019" 133.068710974766 129.580019653232 117.899066304766 121.31716165391 132.855940435536 137.756438857742 130.405717830353 128.402969870781 132.810440173096 136.159526441602 133.001977614189 134.58707036122 130.018029621074 130.31051035806 134.36521721629 123.558369827425 122.525679900169 85.5775622640272 125.461829480678 123.239664927376 109.759315680757 119.882136272142 129.586981727468 85.1893035074659 94.3635238944901 94.3079294421923
"04/03/2019" 131.221726665274 127.730367031472 119.453315311177 125.467588965037 132.234063977672 137.516465251462 130.868538233785 129.306188985931 131.817303936062 135.542688018926 133.137632967993 135.042089115513 130.759116354952 129.077852580462 133.455471940475 124.610909667702 123.968502540099 85.0079806117597 126.575491703882 124.559052243668 111.580279128021 124.486956407342 128.447752925983 85.0914226472957 93.8838237695428 94.2130811770724
"05/03/2019" 131.367890473476 127.956792099112 119.12123007696 125.446682117724 132.304800713256 137.521605465153 130.747015840287 129.268195455359 131.946370367154 135.613135784549 133.073817334877 134.918011039766 130.582982496939 129.140299586837 133.57420792853 124.376297768092 123.658715700919 85.0652590556872 126.327421510904 124.271244020894 111.613540626801 124.473270206472 128.598352357356 85.0726866237944 93.9279868946264 94.1933287309308
"06/03/2019" 131.164609520109 127.548574611757 119.743296751212 125.390074327701 132.115266346916 137.456464015846 130.932140926445 129.308952953164 131.658316693134 135.428345304383 133.139985259465 135.102772890519 130.877199538904 129.07532322169 133.308175601232 124.789501157374 124.236637169316 84.90818308148 126.770193180033 124.798164496311 111.526514338772 124.413484706792 128.276155255839 85.0545325027174 93.7940306112085 94.1768759843395
"07/03/2019" 132.489565216526 128.864386804816 119.260426017281 125.790776860168 132.935401790408 138.081825570277 127.51515091499 126.117834093277 132.638458669918 136.242798223757 133.535663956228 135.325200639117 130.91631399407 130.238100895113 130.448419369134 124.637316247436 123.829299854225 85.4477471391136 126.57003182203 124.466576148984 111.452679083276 124.74108555927 129.319041442628 85.365973116996 94.3286689228975 94.5232778442535
"08/03/2019" 132.246699424203 128.783052763927 119.298409800909 125.964280645518 132.932306223703 138.090385727762 127.536073598841 125.945000024068 132.626745042607 136.242522657702 133.553436447296 135.347695409122 130.944419591997 129.953772795808 130.436390606238 124.667812755206 123.867577575609 85.4699309410995 126.603855068095 124.503092643134 111.354403783455 124.943802268421 129.299384946342 85.3957297931213 94.3502796661251 94.5505220876285
"11/03/2019" 132.70566367781 129.19568450056 119.087205025483 125.509183907335 133.111149386053 138.208529802503 127.523015152957 125.827438843022 132.861472127785 136.426824501655 133.591127435985 135.325979817631 130.880589428178 130.283411004631 130.669416101724 124.548875713487 123.685145683016 85.6046598760439 126.464347499838 124.326657465892 111.01895960462 124.54850009235 129.565971597638 85.4451548492745 94.4723218397126 94.6016382725991
"12/03/2019" 132.448581959843 128.93743232675 119.156433215746 125.717372639242 132.967789997932 138.103079296771 127.483565790151 125.878395734074 132.691041203362 136.286717819439 133.526792181189 135.290933557333 130.872444189703 130.105984471403 130.498246932903 124.566946405416 123.743784338122 85.4974798531016 126.494873186552 124.376949508065 111.159008020251 124.729366862554 129.377776231129 85.3841930279229 94.3721521596019 94.5385677551645
"13/03/2019" 135.275418466048 130.682083156664 116.814960298198 124.293188485038 132.986679932071 137.649155545074 126.248969714125 127.489255981111 133.159321975947 136.278536801401 132.649736740276 134.06493280444 129.331298547998 132.913425959972 130.859816343373 122.717272700073 121.488692340647 85.3066476422908 124.578797821032 122.256797782757 111.117669215518 122.729867416051 130.038301255804 84.7112264834563 94.1072862601685 93.8781199214101
"14/03/2019" 132.39066738902 129.157684494371 120.058729190658 125.788291046725 133.505059768116 134.818908804694 128.217796119142 125.726082916976 133.151053771854 132.95752240545 134.217743509729 136.051631455464 131.668202910411 129.959085840633 130.968484870685 125.399640850623 121.26438085919 85.9285802035236 127.346162530147 125.258059244657 111.077666277907 124.828007837623 129.795330701516 85.8869557023851 94.838390585247 95.0674625874963
"15/03/2019" 133.798840876648 130.172255894678 118.678172438342 125.316048332961 133.68726788591 134.738487817634 127.63916290271 126.408738810023 133.557833575023 133.136530700381 133.853832199771 135.4501235428 130.877948386569 131.284806529688 131.345959097577 124.391193676 119.970106774087 85.9827631818283 126.268777140622 124.029863245638 111.062229840336 124.273520693481 130.30993296083 85.6515341802645 94.848442861051 94.8325972531296
"18/03/2019" 132.465157094142 129.200668787992 119.98015809726 125.70571850603 133.495996823309 134.797948816118 128.174205140414 125.711230188222 133.157585321 132.949520595306 134.19091777132 136.009040348229 131.625415792802 130.02346035289 130.970439703804 125.336873541695 121.190722191938 85.9230107525449 127.283485229584 125.187567106788 110.901036545882 124.759693975583 129.804228975304 85.8661571172896 94.83387019747 95.0475392318535
"19/03/2019" 132.577308220193 129.235843562342 119.917308750434 125.566319408305 133.482322785294 134.775507161002 128.135199362725 125.781891154362 133.153663946113 132.936580080165 134.160656831495 135.968899110184 131.583499112101 130.15709801115 130.965170049959 125.28464820346 121.131272019365 85.9045621589117 127.22947248486 125.128728168352 110.930379367125 124.605871081988 129.804425362209 85.8380514588087 94.8156354041601 95.0199800600197
"20/03/2019" 133.251098894252 129.633650146594 119.418910673051 125.355290439261 133.495538259933 134.693006353828 127.882581995872 126.17941080103 133.258215816528 132.949847762357 133.98263325943 135.708779094795 131.270264021698 130.831757465257 131.056570837105 124.896984109179 120.660126997493 85.8633085753585 126.821148898124 124.674314463196 110.843805269873 124.335821257508 129.953110499319 85.6915651117759 94.7618438193435 94.8763454083346
"21/03/2019" 132.633205780973 129.316128078469 120.029390662448 125.554918559046 133.581887314584 134.881937447749 128.244029437327 125.778202321954 133.250328797235 133.037755672852 134.274224418375 136.083022411868 128.079108349982 130.19448491407 131.060934294858 125.396481055415 121.245455618683 85.9832085689321 127.344279791437 125.242907024634 110.762029423672 124.604339675259 129.895253061681 85.9182275317468 94.9021211243229 95.1060995238333
"22/03/2019" 134.137457110677 130.780668040279 118.139919042932 125.038150024133 134.170461729884 135.104076017635 127.709842417385 126.254782885783 134.130856559245 133.618338620336 134.090631510817 135.531344264583 127.209035745377 131.438867263727 131.895854282028 124.155387560224 119.502174386912 86.3889347728449 125.998963534659 123.635829851923 110.771548012565 124.024261084436 130.894378083452 85.9132096528463 95.25424334575 95.1062324808671
"25/03/2019" 132.50893725452 129.35089341219 120.220619947088 125.491180660509 133.693647815116 135.01041082675 128.398946982455 125.473987365673 133.354068176247 133.148860137446 134.432233569962 136.251284162831 128.244481681168 129.978363338939 131.15785299887 125.57263501968 121.43245437793 86.096790986274 127.532100455114 125.435229489026 110.606151198256 124.600563874112 129.982986887162 86.0436107621219 95.0256377966605 95.2377165323183
"26/03/2019" 132.584857497765 129.271264153452 120.230849604984 125.465180499921 133.62023973561 134.94422277012 128.360606293369 125.861181991393 133.273117732039 133.07038813088 134.379914282088 136.21820562985 128.21141519935 130.190306642116 131.073238626927 125.559563282319 121.431110056483 86.0163772685655 127.524688992334 125.438018728392 110.579708247656 124.386084220629 129.899104425342 85.9852224501295 94.9470441703896 95.1805762220554
"27/03/2019" 133.377460325676 129.844205601463 119.510165198475 125.200212245231 133.686031578515 134.871247439948 128.030046613676 126.063751391245 133.480827893739 133.137856484171 134.176434079992 135.887975996883 127.78444162933 130.887728251189 131.250648553381 125.016700883043 120.755124562233 86.0261366051584 126.961131193175 124.798442984482 110.506426078411 124.207151779223 130.155736132103 85.8357256427 94.9421174545216 95.0387316186405
"28/03/2019" 132.865487260865 129.818543394014 120.209446008085 125.319769531765 134.051263562548 135.315993050952 128.584788480088 125.460843301686 133.760629157066 133.505510101683 130.936745764464 136.451470749956 128.385132549482 130.214641530232 131.549949987928 125.656658460924 121.444083256683 86.3716275177 127.609540964425 125.472769462364 110.478814930985 124.442938366585 130.397736162461 86.2476844372124 92.9946539800489 95.4574833046754
"29/03/2019" 132.618856484616 129.478997207004 120.537132813289 125.364948323471 133.901037113107 135.241797737157 128.663549420008 125.580931161708 133.545600437454 133.354586604072 130.94141620822 136.535037436457 128.524316316432 130.101435421051 131.343267700148 125.867971437788 121.74264187735 86.2535064221076 127.840510625771 125.75138768927 110.459933492414 124.394292373833 130.155937767967 86.2230510827048 92.8864351577918 95.4320053851261
