"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112019" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"01/11/2019" 131.822620355485 128.349684377733 120.692876713527 121.244338131581 135.410210742443 136.477814131999 129.517138402126 128.484845693406 131.512499332349 134.83315356028 131.958959084235 133.583418574339 129.180854497027 129.69517875161 133.051717090684 126.35965684527 121.9460792237 88.3266000618424 124.793367007776 122.649406093889 100.790380620529 117.297760611176 132.095951875065 87.7969861198118 94.7210179635616 94.5322458561332
"04/11/2019" 132.128471763103 128.811850795318 120.225043716191 121.215380146156 135.61341357663 136.561717707861 129.388764447481 128.335531236147 131.804415884986 135.026658785553 131.924113080923 133.44964039718 128.957183143709 129.811806723478 133.329069227228 126.047674460397 121.503032741337 88.5042252137226 124.451065217793 122.24381218488 100.650588926359 117.19334459908 132.442465144046 87.8441724642809 94.8672680563798 94.5682840920017
"05/11/2019" 132.02256197104 128.671151999145 120.357168155928 121.294832651609 135.544170317277 136.522117885825 129.413830159965 128.402769070217 131.707095243544 134.956242399937 131.918655609836 133.473728789227 129.008057661429 129.757435369498 133.237347159298 126.129766131568 121.621176113728 88.4550825303795 124.538482090453 122.351374854063 100.610006649765 117.184958889999 132.34197862752 87.8327772956964 94.8200695373018 94.5517661466761
"06/11/2019" 132.343671509207 129.759243609734 118.351279672689 121.175282283303 136.368897710339 137.007435695625 129.094283163407 127.878451618583 132.740445956796 135.767116650065 131.98708911783 133.133323368461 128.27708436763 129.658353985232 134.239498607955 124.952039428721 119.791638998094 89.1928716551811 123.230585116947 120.712180074173 100.560040061089 117.161278898604 133.446140867285 88.1928178266402 95.4946246710924 94.8953697838552
"07/11/2019" 132.829479518383 129.285649975046 119.323479233772 118.646674126972 135.705201112386 136.493408890281 129.016355890169 129.477294663479 132.008965023606 135.104747433787 131.687402549131 133.068900557124 128.441744211083 130.609110993249 133.515067406443 125.3957574509 120.642431500866 88.4828949448051 123.751224175941 121.442597516614 100.519491177763 118.519142933587 132.719134794162 87.6802434019998 94.8239044285681 94.3983866473193
"08/11/2019" 132.537582937171 128.652127717461 120.310990729816 118.753315674535 135.330540937459 136.298902484119 129.225707924542 129.850534205634 131.500087974756 134.73268854001 131.704324443003 133.284580767004 128.841538478164 130.581781560127 133.029491657526 126.006889324275 121.543172331505 88.1668606263163 124.416458519986 122.258577676967 100.469663275312 118.389964900593 132.176221476081 87.5735789459819 94.5364352194405 94.2890351242549
"11/11/2019" 132.80141518041 129.150256826845 119.518188630353 118.754878973031 135.589170541356 136.389444513116 129.006499568097 129.748462212953 131.854532393205 134.970239768762 131.622798474096 133.048338483902 128.462532874582 130.66461780579 133.372709630045 125.486948495083 120.786070328834 88.4208789370414 123.836378838205 121.567690259578 100.340523738893 118.187876204189 132.620329336671 87.6617574838149 94.7365800224579 94.3414410354856
"12/11/2019" 124.66480301621 121.752420033359 137.495788306028 115.713603060575 132.707816905734 135.813258464668 133.64548670075 122.18175337779 127.371211649871 132.187212779123 133.774734243245 137.893583449471 135.906090739545 122.780924311178 129.116135548402 136.16628566684 136.980781645824 86.5998631283567 135.575363284031 136.076764964596 100.269380515328 117.956876783253 127.479827061567 88.2390449365058 93.2566024590496 94.941425141326
"13/11/2019" 126.498824725985 121.834819728752 128.988609745016 117.744203871546 132.102358119975 134.670450276869 131.055467565012 129.196088956195 126.964413508206 131.530236561825 131.906593826455 135.126968207823 132.255931223205 126.2779991059 128.735447094473 131.238509989496 129.386904173409 85.9689700572982 130.116656472863 129.309832901579 100.228956440295 115.844684733754 127.247120539101 87.1940872190487 92.5166489643279 93.7938410918833
"14/11/2019" 132.836391380448 129.177444056145 120.294621843158 118.304470961159 135.768174057693 136.677001293626 129.452019420405 129.238274349512 132.010165264123 135.165453540176 132.024619927429 133.562157504808 129.017548680763 130.661031456164 133.490106703375 126.100047054738 121.528268541781 88.5184425971951 124.523361677615 122.316582791413 100.210442242272 118.590856277749 129.017477149368 85.831358676574 94.8832058512646 94.5863022751213
"15/11/2019" 132.562040311398 128.901123051855 119.981340320162 118.118262559184 135.44554449295 136.397298305077 129.163860856686 128.768648416766 131.735583474065 134.889817125776 131.758012489691 133.279072196033 128.753881018452 130.352980341546 133.200038572639 125.792066951215 121.269795809669 88.26564962694 124.254670384431 122.042963870546 100.161570421649 118.750135464682 132.485412507701 87.6764153746672 94.6639083664389 94.3633899725092
"18/11/2019" 132.954487230887 129.020167341755 119.528635355212 118.561073132993 135.24782972074 136.046273864991 128.719528636479 129.736962533603 131.598023404682 134.615985824246 131.359634880991 132.858456540195 128.243622540184 130.927546151951 133.010497990409 125.304684233235 120.662003060568 88.1813612768824 123.739250753501 121.519131475656 100.030525653409 118.332319311889 132.756384974224 87.6418823847061 94.4556254650269 94.110273648503
