"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/08/2019" 107.820236385524 120.951891984536 114.554241425842 117.163454854208 94.0559972063924 118.730107474617 118.331074972581 119.625894165174 120.249370635745 121.092274908898 125.040090212441 118.513726967392 119.169158000008 115.330138105467 120.234657654289 106.15616039992 119.860267987907 88.9736913338527 125.444490108764 115.218779815529 93.4305924459747 120.30319954269 124.052294082905 145.718867181141 120.174337098925 88.6747664717231 125.569836293253 95.3430000338194 115.18988694219 88.0668989241851 114.046309538734 119.717098701743
"02/08/2019" 107.817531945671 117.614633481134 115.683268696732 116.291261657811 93.625325741368 121.243874899723 118.033356198252 118.717445294917 120.698105129231 120.186064938443 125.01781537914 118.964728148669 119.736677935751 114.883285007688 119.558332587873 105.75632664191 122.204500338103 88.4083356047697 125.032597504039 114.980610676413 92.8697759875754 120.508109155885 124.413966566137 144.787205737256 120.973008623385 88.4299345331901 125.024251805853 95.2958299202707 116.265223354256 87.6372523238933 113.911276532944 120.457855655731
"05/08/2019" 107.761037983561 117.585496290665 115.696067123745 116.26193122033 93.6271770241232 121.270945371728 118.018995476041 118.688171538381 120.760624149083 120.162171448725 125.045835234705 119.02742165973 119.808871623888 114.864264098742 119.546622550989 105.759904652844 122.201865636246 88.4041270678839 125.037007352569 114.905623387781 92.8651079413397 120.551697183592 124.472190674897 144.754645354996 121.066010113328 88.441590619683 125.022149599909 95.3194427206738 116.223561393506 87.6394897287882 113.900614493231 120.545132467436
"06/08/2019" 107.737025236413 117.585348392433 115.707138349898 116.229908749173 93.6765744138376 121.302905953998 117.999041842055 118.656142036838 120.971012546671 120.157330394251 125.169934561938 119.240124522549 120.046206171718 114.840658902684 119.573309233614 105.817979964634 122.218428213187 88.4356140609833 125.099014644212 114.874717008217 92.8984267211494 120.714310248747 124.668251069516 144.722211530615 121.356248655702 88.5115578070791 125.06648778071 95.4222944778104 116.214231582616 87.6861570554679 113.884738808917 120.822498204146
"07/08/2019" 107.786169976376 117.518959747478 116.046994446747 116.786537402299 93.9354813311465 121.412782654871 118.507216344326 119.215335629545 120.934840841476 120.644696199549 125.352723578308 119.197637256419 119.947660392269 115.361091470549 119.981103276868 106.09742563377 122.177570447705 88.7205427717838 125.426068623852 114.85526299637 93.1958496521738 120.791496763609 124.673222788885 145.347444949083 121.135753273582 88.697177062277 125.435424944957 95.55339482755 116.149457379263 87.9282875471126 114.368075706412 120.633738605904
"08/08/2019" 107.783311656619 117.460728096598 116.039974256289 116.957616662556 94.3222484055526 121.343245734442 118.601645894141 119.397816630905 121.600197179673 120.973431025141 125.911919334475 119.866375140708 120.649166170332 115.468950596382 120.379326590344 106.521238089989 122.105914650126 89.0687054705993 125.887085290891 114.835429782961 93.556408819645 121.394699057176 120.526654761135 145.576243831837 121.904468045317 89.1000581021327 120.793045085112 96.0167024679127 116.103076663526 88.2973235901753 114.444955342859 121.388649574551
"09/08/2019" 107.774099608076 117.458082419271 115.946902391479 116.905565588984 94.3625403758576 121.284971221592 118.520399627091 119.35122597689 121.600824699087 120.990104231885 125.942806425303 119.865667790152 120.638072787279 115.39169025385 120.412424566937 106.560515209291 122.091067462637 89.1084797815296 125.925963367232 114.834419626034 93.5954865586595 121.413504505745 120.533663803743 145.535639219542 121.869513570993 89.1395481828808 120.829750130009 96.0494151861492 116.104948138892 88.338505585314 114.359892076548 121.35978166554
"12/08/2019" 107.762251129297 117.373029081371 115.907984204432 116.888653250154 94.3479218498108 121.220185473504 118.50138300739 119.335811908014 121.597169310299 120.970760576498 125.927278234124 119.861319299824 120.637403836626 115.37208999505 120.390811630431 106.543229059073 122.008304676809 89.0961039576558 125.907377087212 114.775236306326 93.5811830717551 121.402940578683 120.526135817067 145.51425564311 121.877547287868 89.1275704245979 120.808141219907 96.0375888920846 116.026268915912 88.3262018086992 114.339318235542 121.364815244713
"13/08/2019" 107.679985458215 117.375791487987 115.834025772064 116.934160939277 94.3677123302476 121.130472985901 118.503472755707 119.386041397449 121.533054249528 121.029589975313 125.908523990936 119.795899622041 120.560290144637 115.383243134765 120.430704037519 106.559799643381 121.980320871686 89.1279640619647 125.926169216315 114.770215777586 93.6120692119684 121.362445968852 120.470200799558 145.573555739148 121.777035622957 89.13194093956 120.837648101547 96.023260363882 116.041280886595 88.3467297921302 114.329231314495 121.269483215517
"14/08/2019" 107.639223671704 117.39942181017 115.873776457586 116.789154351625 94.3681959488515 121.276100500969 118.405602907191 119.23956533584 121.630210923688 120.937379094066 125.960789476439 119.893502631781 120.666677769401 115.272022354245 120.388343095599 106.563789727528 122.071117818874 89.1085897309101 125.926492357839 114.68127689498 93.5926658756804 121.438507108679 120.560401968976 145.420038100263 121.899530988696 89.1577503852762 120.816732717804 96.0725595810726 116.025534775313 88.3476932491333 114.248847609778 121.388259325297
