"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/02/2019" 108.046807521366 121.181202093863 117.350029266743 117.759712723163 89.9316428395207 119.154448427004 114.969591431057 119.595548609519 123.121753515968 121.838990321704 128.513345311789 121.935106405424 122.668861389295 116.249834786668 122.316145361713 105.09898776813 121.065303012841 82.6799454773984 123.560506498664 116.855492467649 88.7702573904401 123.223551919604 123.311958912989 145.065729644537 120.420676797647 82.8500644192996 123.06286190228 91.8964941192892 114.655092479309 81.7527638607412 114.21089214891 123.693714050472
"04/02/2019" 107.981133834037 121.164650403342 117.309868983596 117.748858827348 89.9518376378735 119.119619835336 114.940578589812 119.592768461055 123.12042298808 121.857372940621 128.527711558403 121.929073057514 122.658348722957 116.225722062178 122.333910489667 105.117656001409 121.045304268978 82.7045132386966 123.576554958966 116.822202237749 88.7922292243588 123.229814247954 123.308618355904 145.055340384452 120.392294686677 82.8696282298507 123.080358020544 91.9094544293742 114.636533764966 81.7759010784278 114.185622960619 123.673784365166
"05/02/2019" 107.932035425298 121.19938902963 117.201337003371 117.815788265398 89.9536005468018 118.945811456595 114.963440058032 119.66318874225 123.053724502728 121.906833580641 128.488234463452 121.862357483636 122.584887497142 116.255843775748 122.355510845956 105.113990127692 120.987602345789 82.721795117191 123.575589138404 116.969278929926 88.806921849026 123.176319666759 123.248769427523 145.127116659636 120.313487187357 82.8559400780125 123.089647196592 91.8790709943614 114.732363932687 81.7794905660051 114.186356322352 123.591207398735
"06/02/2019" 107.984042680109 121.125402893291 117.311333949631 117.761919928129 89.9627615017725 119.089225135687 114.954897734186 119.608791870242 123.239749075531 121.859101167932 128.580435952632 122.047679934145 122.799227446395 116.241948816223 122.336868882594 105.132067782879 121.001053445113 82.7110021710403 123.590903338754 116.809625273975 88.7979742794545 123.309247656211 123.411048172741 145.061179173048 120.579468197342 82.8909621758556 123.088172975788 91.9484502421051 114.60123354446 81.7872291561344 114.204028919428 123.851973434945
"07/02/2019" 107.983632694508 121.149058439675 117.686533211936 118.166423093343 90.1506222113953 119.362189537176 115.354778511478 120.014902486965 123.194805962752 122.219164743403 128.73286354488 121.994927581694 122.69182547419 116.645810934569 122.648524084822 105.344824038327 121.106054576276 82.9107345824421 123.84730043409 116.734139825806 89.0108109599804 123.368897440669 123.401770093088 145.524661207709 120.338658892659 83.0224010059116 123.374111436211 92.0418540388925 114.577975582889 81.9580010059595 114.601502915345 123.651108086291
"08/02/2019" 107.655593309396 118.887139682719 120.200879138224 123.408654927568 90.0232360286065 118.618275352316 120.835438466945 124.906298922846 116.137652506911 125.083709508173 125.451144890662 115.130331140259 114.676316996762 121.73437063282 124.317837428639 105.082954327516 118.70371657617 83.4500885632297 124.173881277636 117.612982395047 89.5884445155827 118.431857616825 117.581717936239 151.26935333412 110.988412597362 81.6391782689446 124.328984888502 89.4733045577361 113.710556584351 81.6818527874497 118.948080728533 113.996266367314
"11/02/2019" 107.937431320878 121.143231644142 117.61526590905 118.074144250508 90.1991610645611 119.363120693052 115.239716270554 119.935981831762 123.235446231468 122.221926925024 128.790922001407 122.028354641986 122.718910483055 116.536759025705 122.675909286054 105.392815870828 121.120636936009 82.9568815334243 123.888610090105 116.664852297778 89.0537737259543 123.419252890366 123.438132674882 145.43705434976 120.335176453467 83.0791284231333 123.410350206374 92.0953258497101 114.547490954534 82.0107691039083 114.500295508594 123.663550482683
"12/02/2019" 107.938442025919 121.098872663401 117.500731777176 118.061064517088 90.2019944760367 119.201153717223 115.200576512628 119.926696942366 123.314447133887 122.21179801581 128.812834662662 122.108158408829 122.816865348093 116.503369833523 122.665024349961 105.393347750385 121.019200363189 82.9604630468356 123.88535229554 116.719405411846 89.0545247036159 123.464929060793 123.505151418243 145.415579924072 120.476127874929 83.0899375460803 123.402153007733 92.1168495247234 114.541224889784 82.0162852452448 114.452904799675 123.792731053865
"13/02/2019" 107.884250106513 121.044380119538 117.359901018148 118.203153117321 90.2375269709869 118.918579157272 115.268839387182 120.076308693606 123.203115838138 122.334744187919 128.777187887349 121.994346480584 122.682770853882 116.585939539128 122.741628444193 105.422293998206 120.847680998902 83.0221596318836 123.920731461925 116.851061181536 89.113039499704 123.392452548457 123.40875125059 145.568023475535 120.30545109011 83.0954782385151 123.457327201504 92.088954392741 114.56966231771 82.0538253747247 114.490652275508 123.626669424814
"14/02/2019" 107.940679638452 121.013177237412 117.490595960941 118.163801888042 90.1743617438255 119.078420448842 115.286262198345 120.032633745479 123.242584391694 122.250624540195 128.754155869019 122.033264796115 122.741575291972 116.595661165572 122.661897926059 105.361580606078 120.893395687078 82.9495739518946 123.853961144812 116.738204056449 89.0408925918384 123.396357028807 123.43077625168 145.510617894283 120.399650973072 83.0486937695273 123.383916942952 92.0613744157777 114.487785028272 81.9912310775282 114.531770071655 123.717341693805
