"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/07/2019" 107.056498712933 119.441697797494 119.004886484214 118.236906106865 89.7559027325722 120.152357634873 115.977487210618 120.073285419947 123.348596618117 121.523849990009 128.273090131014 122.111498620018 123.001026925617 117.22795984454 121.804865783185 104.78623578788 120.203500875783 82.6323716320243 123.01921029332 114.308934674544 88.63039100861 123.173555734742 123.339147307848 144.699186918967 120.947109829957 82.785352032957 122.533393189102 91.8036189290038 112.953302206675 81.6928976089483 115.590320309812 124.258651681539
"02/07/2019" 107.038851969138 119.427610798564 118.991603496694 118.241583603171 89.7978040958916 120.144620546653 115.968215741668 120.081914887659 123.351140869563 121.562764444618 128.309677710172 122.111690936141 122.989708363907 117.221332205606 121.850214401537 104.829632374792 120.194178127612 82.6745897728938 123.064820673339 114.283365839266 88.6728364923525 123.195759175351 123.347743561072 144.711618668375 120.905242262787 82.8237379115884 122.579680568002 91.8356820294064 112.935224882846 81.7344250115642 115.581297034254 124.226367514229
"03/07/2019" 107.083938039357 117.656647226708 120.216959593617 123.524832247586 90.2382901365453 118.214404806956 120.220451987106 125.487516745011 116.662903616701 125.592597002315 125.883931538837 115.256632971103 114.997119615891 121.741408765599 124.19372786616 105.158080238027 117.688332295523 83.9542970294768 123.669823437303 114.836791257984 89.9542176738044 118.764218719479 117.364449926 150.500701136534 110.451161075731 82.0301111102027 124.07885162817 89.5759975099696 111.827699416681 82.1596479719842 119.474922185782 114.394908056765
"04/07/2019" 106.494524835979 118.976690932453 118.423516871785 118.821730264607 90.1443956045631 118.759331465473 116.247403021337 120.637710147372 123.614831119645 122.131130339464 128.64166527725 122.407789580178 119.883962307997 117.574827257689 122.356256720131 105.205032959285 119.095205043173 83.0240497173008 123.49699078532 116.042078750601 86.7262189237845 119.974797617699 123.657274697184 145.40241534013 121.219467456242 83.0913225390783 123.047568656688 92.093832652732 112.955406985433 82.0431518547195 115.725361460404 124.520100919452
"05/07/2019" 106.912128380602 119.406957005679 119.030920285281 118.222823058198 89.7267804532384 120.190600896028 115.973546322743 120.066151311325 123.332778787653 121.498200040734 128.244127580684 122.08989702216 122.984980660889 117.224341364461 121.76908926817 104.753960649831 120.20504306267 82.6089921763257 122.980587087372 114.178071768241 88.602792998231 123.14772410669 123.312204247757 144.672481266216 120.934075032415 82.760319689016 122.496211526111 91.7763910375068 112.891881541931 81.668769038623 115.599562576987 124.250018866909
"08/07/2019" 106.787421583614 119.380444324489 119.131389183427 118.222589703834 89.7170718492965 120.30351474546 116.007665075723 120.068201710355 123.385668105944 121.477724251989 128.264079461789 122.139157516947 123.044753519806 117.253174828491 121.751252722501 104.747203219968 120.237407823886 82.5952952689774 122.972665099841 114.039692111757 88.5878770969446 123.180585132478 123.353040279257 144.66047578804 121.00928564573 82.7602892802051 122.48317391292 91.7871674314779 112.828958490988 81.6603718359056 115.650255271611 124.325685398942
"09/07/2019" 106.769916315722 119.378984251026 119.191310537567 118.235435140108 89.7384509605615 120.361927986257 116.038875457966 120.080482344139 123.512501245205 121.482423877334 128.33320305651 122.266688318654 123.190948177808 117.281287166029 121.766375123127 104.775139318511 120.258147662738 82.6071522838931 123.004163883587 114.006893201681 88.6011952626201 123.273713787516 123.467482712966 144.670634858648 121.196115508273 82.7923186981283 122.505894599556 91.8393770310966 112.814809788777 81.6796210952431 115.687770735442 124.503602271699
"10/07/2019" 106.724698184093 119.360241267631 119.297155575552 118.308752137744 89.6386470975274 120.417874041622 116.143870769075 120.150053987325 123.401542983461 121.44712240487 128.207640078085 122.154526531853 123.088132472712 117.3830207635 121.686160416908 104.670419456844 120.259353998191 82.5208739512459 122.896502420818 113.960967555766 88.5128344482456 123.150207532413 123.347937382127 144.726863688228 121.116576456045 82.6843875111763 122.410663779876 91.7235829824434 112.786373531153 81.5823832279375 115.798264733963 124.418399304524
"11/07/2019" 106.667353567781 119.355749623962 119.242615840663 118.318854262824 89.7354812290546 120.389978209354 116.110351627999 120.170169522757 123.349168153132 121.546716610271 128.269263184851 122.096096638348 122.991407801778 117.357143405065 121.796722708271 104.768566408775 120.256400451429 82.6227457078929 122.999763049092 113.922730955506 88.614931860094 123.163868112437 123.317379564391 144.760168273739 120.923079391709 82.7666929986848 122.519813901232 91.7807877542595 112.775861756257 81.6787764117362 115.761456600169 124.253001885199
"12/07/2019" 106.625329896211 119.376289826716 119.261336833738 118.237017185407 89.7283053596647 120.463059833562 116.055356591761 120.088499843762 123.43065925023 121.484893126155 128.301839022811 122.177424385953 123.085484057005 117.296118883143 121.760858478911 104.763205282798 120.307614232812 82.6037884465377 122.989816230115 113.877658056308 88.5951509759204 123.219485153243 123.388613763697 144.668660134082 121.041952105391 82.777976920926 122.496950032022 91.8105319096733 112.775379540419 81.6727904696974 115.718558443822 124.367232274712
