"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"03/06/2019" 107.536734098851 117.818313242947 120.132720309875 123.467935722605 90.2526139916716 118.162665728517 120.206330243147 125.355131161273 116.64945900705 125.51998973913 125.870051956132 115.302253601702 115.024685213113 121.68239924219 124.210787389299 105.179268142852 117.751908672558 83.9237568502719 123.728429824998 115.376711359809 89.9482892718978 118.775736331371 117.437315938672 150.498107422357 110.562784154597 82.0316573254934 124.112629618004 89.6116462565201 112.122827136395 82.1415983350312 119.351224091737 114.417557139176
"04/06/2019" 107.491830191125 119.535509282271 118.768535329572 118.412688324926 89.8574980469605 119.783746336753 116.039325724924 120.224816882398 123.295454119793 121.71055857025 128.300858965367 122.083281816222 122.950084634208 117.303563445545 121.974758355125 104.890746670148 120.081769231531 82.7391280795261 123.150973738795 114.841240723338 88.7514597739896 123.16997934507 123.335035603569 144.935867608831 120.898328159449 82.8406430212321 122.682856076911 91.8379093086855 113.19611761353 81.7767004868492 115.570262708499 124.183108489595
"05/06/2019" 107.413554706771 119.648626579294 118.637734378572 118.253010996748 89.9456767984118 119.797769083215 115.851665719842 120.074586127224 123.395708129544 121.700022318965 128.417599395877 122.181228471907 123.035943090857 117.117295206931 122.024018654025 104.981383671272 120.192370663776 82.8118788982305 123.238491991403 114.862486023471 88.8234081498064 123.284895551577 123.441294870717 144.791965023949 120.948406164152 82.9453656236762 122.753184329506 91.9506527507637 113.29586155715 81.8659361463845 115.385936776754 124.2444458011
"06/06/2019" 107.405038964945 119.651809360159 118.781477112765 118.51201227242 90.223711413737 119.886599064593 116.056625488811 116.53463399731 123.516112980706 122.04784094201 128.698894084984 122.2961302745 123.101700341131 117.332087426726 122.379424698149 105.284209467794 120.222601115707 81.0420598858772 123.579806860388 114.831957757786 89.1100396071047 123.494141789805 123.596203573724 145.115522834982 120.893575706011 83.1870347635098 123.104096193213 92.1714343616086 113.284536752302 82.1284942551627 115.578555052901 124.224552465161
"07/06/2019" 107.40414870855 119.67277414014 118.65359705034 118.1767939124 89.9646262453456 119.873403573027 115.793939457569 120.000010022337 123.444039868878 121.666949016633 128.461901754706 122.227893062904 123.080165928055 117.054884760248 122.020513950145 105.002872852114 120.247174092535 82.8200413609658 123.257554608668 114.829421321227 88.8315164894561 123.333763305418 123.48881655517 144.713898912025 120.980238660305 82.9771058772701 122.761842015505 91.9916944177282 113.298558100901 81.8852659027562 115.339641826595 124.281915767992
"10/06/2019" 107.394325993249 119.599537557683 118.69304211183 118.178177924013 89.9604750745262 119.885457884551 115.81337060612 120.001782141498 123.508857493544 121.650914364619 128.485630667027 122.291753199454 123.1572123368 117.072495964512 122.007259293185 105.000665772678 120.198461709451 82.8118030893349 123.253696562788 114.751405237938 88.8226459565323 123.374506055913 123.542579413104 144.703891853886 121.082729380261 82.9818968622336 122.752903830055 92.0083815992582 113.214810118997 81.8818083318102 115.367747327181 124.380513076257
"11/06/2019" 107.366682104306 119.613300355279 118.749963473497 118.222752485054 89.9053896686506 119.928752594888 115.869146681042 120.045293109235 123.360747478427 121.645219878554 128.385660331088 122.141164151231 122.993218663063 117.127236443434 121.971926623694 104.940785333368 120.222839721965 82.7694205597409 123.192526262645 114.738361226439 88.7789618938674 123.252169413159 123.401076149261 144.744873977797 120.88783484217 82.9135765036611 122.704681386983 91.9206276402964 113.221452209964 81.8285271960302 115.425336613639 124.19376397546
"12/06/2019" 107.384165424799 119.572680668066 118.764230824364 118.224620067429 89.8458246301702 119.908453798112 115.888140616348 120.044569144109 123.377379035512 121.592960226759 128.339593780548 122.15919739464 123.033162551838 117.144783562965 121.90562832801 104.878592332914 120.180624274253 82.7113817796708 123.125200323373 114.725537805764 88.7191752413273 123.231334655056 123.40270926729 144.729975810734 120.979600804443 82.860887822133 122.636604329895 91.878290117764 113.184962270923 81.7711074112686 115.447600579175 124.272248545948
"13/06/2019" 107.361306031135 119.564990621375 118.706151385861 118.19385052722 90.0006590553809 119.876146878585 115.832092238551 120.020191119131 120.345489476483 121.663319745022 128.611207174524 122.550075950012 123.459561400519 117.092404207755 122.032436514904 105.049575051663 120.169993669538 82.8390796617098 123.305738355192 114.708349979756 88.8505728364689 123.553377054887 123.769992643617 144.713730459652 121.483552510794 83.0418107241775 122.78997560896 92.1054157056574 113.176352663475 79.9003011792427 115.3909112338 124.758709208961
"14/06/2019" 107.409102407985 119.503936746647 118.872935563627 118.368128150797 89.8619145076738 119.928623195931 116.034694680042 120.187409234087 123.340691213268 121.679212525673 128.339073586726 122.120309938569 122.986711074931 117.293553945945 121.959896269404 104.898641673743 120.126675015973 82.7365940614216 123.154597198403 114.683516854752 88.7465226178181 123.211478777831 123.370034597045 144.878233129878 120.913994371518 82.859843114445 122.67820799493 91.86572308002 113.114246739953 81.7842017389563 115.593217062275 124.213327972736
"17/06/2019" 107.367086424988 119.512237799804 118.854915261494 118.291814074157 89.8984292323711 119.968027084405 115.961804288369 120.116236021355 123.399531769752 121.66349158126 128.398911264585 122.176148565258 123.038770752162 117.219254065334 121.973862239339 104.937220778344 120.159381582588 82.7642180959892 123.190391352623 114.632197795909 88.7732280563286 123.273170441383 123.427738678397 144.802255691282 120.948586310373 82.9081329514513 122.704132629053 91.9208443902097 113.103296010955 81.8219645217466 115.530382085862 124.25588444867
"18/06/2019" 107.381945918636 119.53319694597 118.824819670172 118.305509463418 89.9027910614011 119.941121616191 115.956071826563 120.133535351313 123.337746134109 121.688504437148 128.376762713322 122.112097056291 122.963125919044 117.217816638936 121.988846993807 104.939328384196 120.164467024232 82.7758859911562 123.192531840704 114.665122910967 88.7840352807901 123.23299061371 123.371984367557 144.822786439299 120.844725723725 82.9035657771957 122.713186675967 91.9025241950161 113.130020118766 81.8273732505859 115.521531121289 124.160153316596
"19/06/2019" 107.353203002231 119.529170857854 118.934987697875 118.313817262885 89.8412455009887 120.042390760583 116.01200224144 120.13629073627 123.350394829825 121.629738163736 128.337363436513 122.125646943948 122.993757953851 117.26548441847 121.922068796042 104.878569189782 120.197401495991 82.7110791426417 123.129682657971 114.613536940484 88.7190562377614 123.215299338196 123.372519400601 144.813879218603 120.914408523273 82.8506487327306 122.647335234205 91.8628866602215 113.10679625041 81.7661633831727 115.588387079061 124.22017123408
"20/06/2019" 107.483333093773 118.522639062682 120.204572230358 123.584973926971 90.3916973388954 118.272703188295 120.33589900987 125.844979206176 117.070100780375 122.032674030573 126.15411320449 115.500917657107 115.268711943468 121.77706038079 124.366072025949 105.328662633564 118.146637947814 84.2503352869482 123.920502208967 113.683926407596 90.1116488000822 119.012682046543 117.631898441723 150.648799091081 110.794984348889 82.2173687361855 124.278296455097 89.7561965178734 113.152495965276 82.4028014633463 116.07131417574 114.70597694912
"21/06/2019" 107.361580690681 119.511848474699 118.870599555778 118.267139987086 89.8903845786106 119.997600494716 115.947954898908 120.095086812866 123.458014214223 121.638764274692 128.417431735499 122.232292278732 123.107905855232 117.204850021 121.953788124681 104.930351926021 120.173259299922 82.7527936676596 123.180370571396 114.605691345326 88.7602323795816 123.307810124127 123.473683832469 144.770152621102 121.040755682603 82.9100759366486 122.688920747534 91.9333931607855 113.090897403348 81.8157661609532 115.526244531135 124.345796842054
"24/06/2019" 107.327994108006 119.482485084463 118.956624159725 118.273482607865 89.8202232161666 120.074000397153 115.988544116488 120.100102756174 123.332872015016 121.59179012944 128.319859292583 122.103525799453 122.970580174694 117.240530096175 121.887496109378 104.855452374486 120.181535228713 82.6903057291479 123.100064948868 114.530078658878 88.6954400567012 123.197864762328 123.349459234584 144.761400521397 120.878702975929 82.8366507513009 122.615758701886 91.8484857421078 113.040688830778 81.7488806424782 115.57894253588 124.192413919104
