"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/03/2019" 107.918110391504 120.882048356246 117.627723037064 118.017890759041 89.9755783859797 119.250297147471 115.224497507076 119.908039817309 123.183558032044 122.026687073747 128.594817403329 121.951543088593 122.694902913836 116.533416444301 122.410921106105 105.151997613441 120.879794351406 82.7595021208527 123.608291244629 116.472943705365 88.8357760741046 123.273212003867 123.313927190649 145.298148296032 120.378930894818 82.8864377600851 123.136364999755 91.9098624524059 114.264152915453 81.8124849408228 114.544192049584 123.71849781511
"04/03/2019" 107.593611833802 118.490715134786 120.020396872095 123.358555399021 89.9572331901766 118.213035979201 120.38142086739 125.513286661882 116.636343352387 125.458064045383 125.751751839584 115.164296069826 114.873965115473 121.588008287494 124.16470610803 104.990451377187 118.199568877913 83.7038674201395 123.848021913889 117.372020477666 89.6163894105264 118.620743824507 117.414737488961 150.969467143649 110.699198445333 81.726460414947 124.115681423862 89.3914044140085 112.965719741351 81.8702798017451 119.209855770733 114.291444904797
"05/03/2019" 107.990550626414 120.710112481275 117.99307512716 118.016161141137 89.8325974857537 119.55873609668 115.37999058161 119.889828130943 123.408289471054 121.844602940025 128.590541465367 122.179192901794 122.996138792541 116.665946526049 122.231348126404 105.020056577255 120.866937368186 82.5892477681051 123.468885107743 116.198945347242 88.66766544963 123.366179281262 123.484565771203 145.238107942032 120.834207274523 82.789119504555 122.974175139526 91.8810048031446 114.006730685363 81.6680870495265 114.748824086672 124.142998670912
"06/03/2019" 107.831460134132 120.894494948835 117.657584493816 117.887873820532 90.0005484008895 119.368726794426 115.128976873522 119.786764312706 123.479469446325 121.947536873253 128.739344325656 122.243629677395 123.03295698231 116.433921159561 122.38001783139 105.185633665335 120.952090565752 82.7595303836429 123.634019691877 116.357196667299 88.8335504691817 123.482672669756 123.5706282811 145.150512724199 120.802103216189 82.9539693213582 123.133641150963 92.0267940987105 114.2279534699 81.8401932673616 114.479155280483 124.130218044326
"07/03/2019" 107.822179033436 120.842148224675 117.797825582515 118.327022667302 90.2534958223398 119.317612837702 115.476630406184 116.430644536877 123.45637475229 122.391508128655 128.929840869154 122.211786995895 122.942806152501 116.802321007197 122.763863709539 105.458209831195 120.867390385973 80.9925741260702 123.950612736852 116.388000290876 89.121061578568 123.571308459706 123.586768130669 145.657885276295 120.575223340029 83.1395498738627 123.485325745926 92.1607988165691 114.203335830974 82.0790509204625 114.798269659925 123.941623280112
"08/03/2019" 107.701982952736 118.566373772916 120.232779802154 123.594053238595 90.082864809486 118.358796530803 120.491427226251 121.914515691738 116.854653857573 125.719822151306 126.006793650003 115.361902719112 115.093241921317 121.802508644188 124.355473427253 105.146738815798 118.285847522386 81.744399685611 123.972772487681 117.147545947589 89.7531145183961 118.850143642327 117.565008666862 151.20948340317 110.781159933133 81.8490271856514 124.284793235877 89.5119786499379 112.842210539204 81.981414835719 119.453042880002 114.513939674275
"11/03/2019" 107.780432180211 120.764522039794 117.806098463104 118.324814107573 90.2020259055357 119.27518340248 115.488758450902 116.417346243557 123.525554812779 122.340871608406 128.913084782897 122.275580017281 123.036273410869 116.816964301066 122.696824652811 105.404648546828 120.790076365758 80.9344117597877 123.888034982695 116.332752344972 89.0673663048605 123.587432086701 123.627272112196 145.629701279318 120.723949938419 83.1026702201826 123.419331854357 92.1388546925992 114.125285603908 82.0337360434234 114.825310534011 124.083314594487
"12/03/2019" 107.797906312803 120.81478121147 117.88313271051 118.20050537845 90.2138380181884 119.4826154413 115.405595076327 116.286664445808 123.577299076253 122.277206372186 128.960241958191 122.327957963043 123.085880284156 116.724257965301 122.67924597143 105.421273141466 120.928252849705 80.9252524484775 123.90136176598 116.230142999664 89.0626787261884 123.641224491642 123.679884379674 145.507647334739 120.759384016375 83.1317719826015 123.418926343311 92.1822195292149 114.112590236024 82.0435914623954 114.762927385765 124.125696988507
"13/03/2019" 107.839565174188 120.694131668706 118.006019178107 118.390165667822 90.0106768859675 119.389804356924 115.636856173564 116.463545128562 123.376932483398 122.217402584047 128.707942185669 122.126071800648 122.909069224063 116.954724125184 122.516316800453 105.206519102728 120.765743911834 80.7501646352148 123.680459022511 116.270309854967 88.8849134270428 123.402706140187 123.459005862717 145.654362830692 120.645855589167 82.9124116783308 123.223201332479 91.9504873513314 114.03500474835 81.8466460946657 114.99243833543 123.994812368531
"14/03/2019" 107.799688384614 120.787904647349 117.992106954784 118.349651612308 90.325857734277 119.525483475208 115.546105857421 116.431830689788 120.352607692153 122.42126717661 129.128720964665 122.520791563785 123.290623990835 116.869234010103 122.820056101607 105.549045348406 120.91507732907 81.0261556068809 124.046686381316 116.205984568181 89.1729496981982 123.816726405783 123.866012349006 145.673496516393 120.983672741952 83.2405018327484 123.561616332165 92.3064581564929 114.078897438859 80.1287307044845 114.90468820312 124.349907998357
"15/03/2019" 107.523809926205 118.327279763109 120.011485098189 123.52852552225 90.328965366619 118.104371892434 120.468500792977 121.999857237379 114.076195667942 126.024740396875 126.387085215745 115.705525795561 115.500459237763 121.684998375144 124.505061544907 105.369725175854 118.033625717696 82.0699068709418 124.240711532721 117.702350594411 90.0205442118218 119.20296827596 117.920252818326 151.107316285489 111.265668025306 82.1885215662519 124.477320277145 89.7930560202122 112.885967243717 80.4012349817823 119.54326426653 115.003226031996
"18/03/2019" 107.7924584274 120.664277873731 118.164805772907 118.428967713987 90.2635005900622 119.622903295712 115.673801173451 116.494018093096 120.296866861562 122.404310860749 129.071874286294 122.474514209364 123.252544041975 116.993533159791 122.771300820785 105.48758824641 120.85665890027 80.9609756022904 123.983116568513 116.051663304141 89.1154062727011 123.762932984658 123.811755868905 145.731453625799 120.951803322209 83.1775727707784 123.505016387325 92.2437674513812 113.920938399335 80.0594686366869 115.053296386726 124.323643595291
"19/03/2019" 107.777052253894 120.656200195514 118.151578475937 118.385090166135 90.2681054300485 119.630554380536 115.634952147311 116.448009069758 120.358619121993 122.378723467005 129.10217798924 122.539342181042 123.327650614624 116.95412335826 122.759337502282 105.493181569264 120.858577940528 80.9574484236179 123.985549325415 116.023976603734 89.1132589363121 123.808744384804 123.86857244012 145.682555284802 121.04632919081 83.1929119431836 123.50027530682 92.2702073176827 113.904564934071 80.063037184885 115.020686580199 124.415236113212
