Fecha;TIF082018;TIF042019;TIF082019;TIF112019;TIF102020;TIF112020;TIF022021;TIF032022;TIF042023;TIF012024;TIF062025;TIF012026;TIF112027;TIF032028;TIF052028;TIF022029;TIF032029;TIF022030;TIF102030;TIF022031;TIF032031;TIF022032;TIF032032;TIF032033;TIF052034
2018-05-31;104,58141281;112,11480478;109,35016528;120,36460646;113,34156002;128,95861017;129,28138309;132,24987045;131,7545028;133,51781798;128,38799261;127,67513811;126,78724598;129,81166588;131,28021687;129,63790595;132,77324494;134,03497196;131,40937717;126,76523885;128,94484172;126,14915642;130,33167455;125,51798545;119,04808045
2018-05-30;104,57336611;112,12638123;109,35388049;120,35384986;113,31084644;128,92198357;129,24481088;132,19926464;131,71678972;133,47961302;128,3503704;127,63753267;126,74697115;129,77402148;131,2296401;129,59575974;132,72891541;133,99022261;131,36993728;126,72439694;128,9069988;126,10054201;130,29382416;125,47943792;119,00923813
2018-05-29;104,56312458;112,13788991;109,35742457;120,34291684;113,28004728;128,88528244;129,2081225;132,14994717;131,67902202;133,44135267;128,31289426;127,59984047;126,70662318;129,73632583;131,18029387;129,55357108;132,68528646;133,94618062;131,3303942;126,68349815;128,86930203;126,05309783;130,25592259;125,44122911;118,97035779
2018-05-28;104,55075695;112,14932528;109,36079788;120,33181007;113,2491607;128,84850939;129,17132014;132,10181844;131,64119219;133,4030293;128,27554229;127,56205845;126,66620435;129,69857178;131,13208324;129,51134224;132,64229931;133,90278664;131,29074741;126,64254483;128,83172952;126,0067336;130,21796271;125,40332479;118,93144145
2018-05-25;104,50158226;112,18314333;109,36989819;120,29747376;113,15596217;132,88059858;129,06025243;131,96367081;131,52726541;133,28761559;128,16403418;127,4481493;126,54454577;129,5848977;130,99341287;133,16170855;132,51665751;133,77595645;131,17118378;126,51938074;128,71956032;125,8733105;130,10367161;125,29112887;122,22622589
2018-05-24;104,48139352;112,19423951;109,37259391;120,28569844;113,12471294;132,83230507;129,02301772;131,91943343;131,48912579;133,24897792;128,12698848;127,40998581;126,50386663;129,54685162;130,94892142;133,10907609;132,47572345;133,73463542;131,13112241;126,47823228;128,68229443;125,83048337;130,06542002;125,25414261;122,17791396
2018-05-23;104,45941849;112,20524154;109,37512205;120,27376249;113,09337104;132,78547009;128,9856811;131,87598162;131,4508965;133,21024927;128,08997827;127,37172328;126,46312826;129,50872088;130,90518123;133,05779825;132,43519038;133,69371925;131,09095865;126,43704069;128,64506412;125,78837077;130,02708385;125,21732048;122,13082588
2018-05-22;104,43572372;112,21614645;109,37748348;120,2616685;113,06193611;132,73997977;128,94824515;131,8332504;131,41257378;133,17142581;128,05298949;127,33336093;126,42233297;129,4705019;130,86213037;133,00777109;132,39501914;133,6531684;131,05069341;126,39580818;128,60785533;125,74691381;129,98865952;125,18063973;122,08486773
2018-05-21;104,4103751;112,2269516;109,37967913;120,24941899;113,03040798;132,69572839;128,91071246;131,7911791;131,37415437;133,13250422;128,01600911;127,29489825;126,38148311;129,43219156;130,81971102;132,95889808;132,35517311;133,61294591;131,01032779;126,35453694;128,57065502;125,70605749;129,95014392;125,14407918;122,03995236
2018-05-18;108,22417325;112,2587468;109,38528147;124,11088157;112,93526536;132,56945936;128,79756031;131,66837658;131,2582902;133,01512453;127,90500306;127,17890728;126,25862915;129,31668783;130,69571935;132,818338;132,2372551;133,49391418;130,88864198;129,88593662;128,45898973;125,58659554;129,83402489;125,03492816;121,91068068
2018-05-17;108,18225695;112,26913262;109,3868243;124,08743878;112,90336619;132,52924737;128,75966708;131,6284144;131,21946035;132,9757864;127,8679455;127,14004354;126,21758398;129,2779895;130,65532017;132,77324494;132,19838939;133,45468149;130,84788886;129,83459801;128,42171259;125,54766088;129,79512161;124,9986644;121,86918067
